Date	Race Name	Location	UCI Rating	Winner	Team
1 February	Grand Prix Cycliste la Marseillaise	France	1.1	Nicki Sörensen ( DEN )	Team CSC
2–6 February	Étoile de Bessèges	France	2.1	Freddy Bichot ( FRA )	Française des Jeux
6 February	GP Costa degli Etruschi	Italy	1.1	Alessandro Petacchi ( ITA )	Fassa Bortolo
6 February	Trofeo Mallorca	Spain	1.1	Óscar Freire ( ESP )	Rabobank
7 February	Trofeo Alcudia	Spain	1.1	Óscar Freire ( ESP )	Rabobank
8 February	Trofeo Manacor	Spain	1.1	Alejandro Valverde ( ESP )	Illes Balears-Caisse d'Epargne
9 February	Trofeo Soller	Spain	1.1	Alejandro Valverde ( ESP )	Illes Balears-Caisse d'Epargne
9–13 February	Tour Méditerranéen	France	2.1	Jens Voigt ( GER )	Team CSC
10 February	Trofeo Calvià	Spain	1.1	Antonio Colóm ( ESP )	Illes Balears-Caisse d'Epargne
10–13 February	GP Costa Azul	Portugal	2.1	Rubén Plaza ( ESP )	Comunidad Valenciana
13–17 February	Vuelta a Andalucía	Spain	2.1	Francisco Cabello ( ESP )	Comunidad Valenciana
15 February	Trofeo Laigueglia	Italy	1.1	Kim Kirchen ( LUX )	Fassa Bortolo
16–20 February	Volta ao Algarve	Portugal	2.1	Hugo Sabido ( POR )	Paredes Rota dos Moveis-Beira Tamega
19 February	Tour du Haut Var	France	2.1	Philippe Gilbert ( BEL )	Française des Jeux
19 February	Trofeo Luis Puig	Spain	1.1	Alessandro Petacchi ( ITA )	Fassa Bortolo
19–20 February	Critérium des Espoirs	France	2.2	Jean Mespoulede ( FRA )	CC Marmande 47
20 February	Classic Haribo	France	1.1	Gorik Gardeyn ( BEL )	Mr Bookmaker.com-Sports Tech
22–26 February	Volta a la Comunitat Valenciana	Spain	2.1	Alessandro Petacchi ( ITA )	Fassa Bortolo
26 February	Omloop Het Volk	Belgium	1.HC	Nick Nuyens ( BEL )	Quick Step-Innergetic
26 February	GP Chiasso	Switzerland	1.1	Kim Kirchen ( LUX )	Fassa Bortolo
26 February	Beverbeek Classic	Belgium	1.2	Jarno Van Mingeroet ( BEL )	Profel Cycling Team
27 February	Kuurne–Brussels–Kuurne	Belgium	1.1	George Hincapie ( USA )	Discovery Channel
27 February	Clásica de Almería	Spain	1.1	Iván Gutiérrez ( ESP )	Illes Balears-Caisse d'Epargne
27 February	GP di Lugano	Switzerland	1.1	Rik Verbrugghe ( BEL )	Quick Step-Innergetic
2–6 March	Vuelta a Murcia	Spain	2.1	Koldo Gil ( ESP )	Liberty Seguros-Würth
5 March	Milano–Torino	Italy	1.HC	Fabio Sacchi ( ITA )	Fassa Bortolo
6 March	Les Monts Luberon	France	1.2	Florent Brard ( FRA )	Agritubel-Loudun
6 March	Trofeo Zsšdi	Italy	1.2	Maurizio Biondo ( ITA )	GS Promosport
6 March	Grand Prix de la Ville de Lillers	France	1.2	Johan Coenen ( BEL )	Mr Bookmaker.com-Sports Tech
6 March	GP Knorr	Switzerland	1.2	Mauro Santambrogio ( ITA )	LPR-Piacenza
7 March	Giro della Provincia di Lucca	Italy	1.1	Mario Cipollini ( ITA )	Liquigas-Bianchi
10–13 March	GP do Oeste	Portugal	2.2	Cândido Barbosa ( POR )	LA Aluminios / Liberty Seguros
11–14 March	Istrian Spring Trophy	Croatia	2.2	Borut Božič ( SLO )	Perutnina Ptuj
13 March	Paris–Troyes	France	1.2	Florent Brard ( FRA )	Agritubel-Loudun
13 March	Porec Trophy	Croatia	1.2	Jochen Summer ( AUT )	Elk Haus-Simplon
13 March	Omloop van het Waasland	Belgium	1.2	Gorik Gardeyn ( BEL )	Mr Bookmaker.com-Sports Tech
13 March	Trofeo Franco Balestra	Italy	1.2	Branislau Samoilau ( BLR )	Palazzago AB Isolanti
13 March	Bordeaux-Saintes	France	1.2	John Nilsson ( SWE )	Auber 93
13 March	Giro del Mendrisiotto	Switzerland	1.2	Michele Maccanti ( ITA )	LPR-Piacenza
16 March	Nokere-Koerse	Belgium	1.1	Steven de Jongh ( NED )	Rabobank
18 March	Classic Loire Atlantique	France	1.1	José Alberto Martínez ( ESP )	Agritubel-Loudun
20 March	Cholet - Pays De Loire	France	1.1	Pierrick Fédrigo ( FRA )	Bouygues Télécom
20 March	GP San Giuseppe	Italy	1.2	Martin Pedersen ( DEN )	Team GLS
20 March	GP Rudy Dhaenens	Belgium	1.1	Koen Barbé ( BEL )	Chocolade Jacques-T Interim
20 March	Stausee Rundfahrt	Switzerland	1.1	Danilo Napolitano ( ITA )	LPR-Piacenza
20 March	La Roue Tourangelle	France	1.2	Gilles Canouet ( FRA )	Agritubel-Loudun
21–25 March	Setmana Catalana de Ciclisme	Spain	2.HC	Alberto Contador ( ESP )	Liberty Seguros-Würth
21–27 March	Tour de Normandie	France	2.2	Kai Reus ( NED )	Rabobank Continental Team
22–26 March	Settimana Coppi & Bartali	Italy	2.1	Franco Pellizotti ( ITA )	Liquigas-Bianchi
23 March	Dwars door Vlaanderen	Belgium	1.1	Nico Eeckhout ( BEL )	Chocolade Jacques-T Interim
23 March	GP Waregem	Belgium	1.2	Romain Fondard ( FRA )	VC Roubaix
25–29 March	The Paths of King Nikola	Serbia and Montenegro	2.2	Mitja Mahorič ( SLO )	Perutnina Ptuj
26 March	E3 Prijs Vlaanderen – Harelbeke	Belgium	1.HC	Tom Boonen ( BEL )	Quick Step-Innergetic
26–27 March	Critérium International	France	2.HC	Bobby Julich ( USA )	Team CSC
27 March	Brabantse Pijl	Belgium	1.HC	Óscar Freire ( ESP )	Rabobank
28 March	Giro della Provincia di Reggio Calabria	Italy	1.1	Guillermo Bongiorno ( ARG )	Ceramica Panaria-Navigare
28 March	Rund um Köln	Germany	1.1	David Kopp ( GER )	Team Wiesenhof
28 March	Giro del Belvedere	Italy	1.2U	Gianluca Coletta ( ITA )	Concrete San Marco Caneva
29 March	Paris–Camembert	France	1.1	Laurent Brochard ( FRA )	Bouygues Télécom
29 March	GP Palio del Recioto	Italy	1.2U	Andrei Kunitski ( BLR )	Palazzago AB Isolanti
29–31 March	Three Days of De Panne	Belgium	2.HC	Stijn Devolder ( BEL )	Discovery Channel
1 April	Route Adélie de Vitré	France	1.1	Daniele Contrini ( ITA )	LPR-Piacenza
1–3 April	Le Triptyque des Monts et Châteaux	Belgium	2.2	Marc De Maar ( NED )	Rabobank Continental Team
2 April	Hel van het Mergelland	Netherlands	1.1	Nico Sijmens ( BEL )	Landbouwkrediet-Colnago
2 April	Boucle de l'Artois	France	1.2	Jérôme Bouchet ( FRA )	VC Roubaix
2 April	GP Miguel Indurain	Spain	1.1	Javier Pascual Rodríguez ( ESP )	Comunidad Valenciana
3 April	Archer GP	United Kingdom	1.2	John Tanner ( GBR )	Planet X-Cycling Plus
3 April	Tour du Lac Léman	Switzerland	1.2	Jonas Ljungblad ( SWE )	Amore & Vita-Beretta
