Class	Operator	No. Built	Year Built	Cars per Set	Unit nos.
Class 170/1	CrossCountry	17	1998–1999	3	170 101 - 170 110
Class 170/1	CrossCountry	17	1998–1999	2	170 111 - 170 117
Class 170/2	Greater Anglia	12	1999	3	170 201 - 170 208
Class 170/2	Greater Anglia	12	2002	2	170 270 - 170 273
Class 170/3	First TransPennine Express	9	2000	2	170 301 - 170 309
Class 170/3	First ScotRail	4	2004	3	170 393 - 170 396
Class 170/3	CrossCountry	2	2002	3	170 397 - 170 398
Class 170/4	First ScotRail	24	1999–2001	3	170 401 - 170 424
Class 170/4	First ScotRail	10	2003–2004	3	170 425 - 170 434
Class 170/4	First ScotRail	12	2004–2005	3	170 450 - 170 461
Class 170/4	First ScotRail	2	2001	3	170 470 - 170 471
Class 170/4	First ScotRail	7	2004	3	170 472 - 170 478
Class 170/5	London Midland	17	1999–2000	2	170 501 - 170 517
Class 170/5	CrossCountry	6	1999–2000	2	170 518 - 170 523
Class 170/6	London Midland	6	2000	3	170 630 - 170 635
