Date	Opponent	Venue	Result	Attendance
10 August 1985	Rangers	A	0-1	28,870
17 August 1985	Aberdeen	H	1-1	14,339
24 August 1985	Dundee	H	2-0	13,736
31 August 1985	Motherwell	A	1-0	3,327
7 September 1985	Clydebank	H	2-1	5,336
14 September 1985	Hearts	A	0-2	7,617
28 September 1985	St. Mirren	A	0-1	4,408
5 October 1985	Hibernian	H	2-2	6,951
12 October 1985	Rangers	H	1-1	16,657
19 October 1985	Aberdeen	A	2-3	15,748
26 October 1985	Celtic	A	3-0	25,976
2 November 1985	Hearts	H	1-1	10,142
9 November 1985	Motherwell	H	3-0	5,493
16 November 1985	Dundee	A	3-0	11,736
23 November 1985	Clydebank	A	2-1	1,839
14 December 1985	Rangers	A	1-1	16,657
21 December 1985	Aberdeen	H	2-1	9,990
23 December 1985	Celtic	H	1-0	15,894
28 December 1985	Dundee	H	0-0	14,869
4 January 1986	Celtic	H	4-2	16,668
11 January 1986	Hearts	A	1-1	19,043
18 January 1986	Clydebank	H	4-0	6,214
1 February 1986	St. Mirren	A	1-1	4,221
8 February 1986	Hibernian	H	4-0	8,504
22 February 1986	Rangers	H	1-1	14,644
26 February 1986	Hibernian	A	1-0	7,137
11 March 1986	Motherwell	A	0-2	2,823
15 March 1986	Celtic	A	1-1	20,965
22 March 1986	Motherwell	H	4-0	5,710
29 March 1986	Dundee	A	1-0	15,079
8 April 1986	St. Mirren	H	5-0	6,347
12 April 1986	Hearts	H	0-3	19,878
16 April 1986	Aberdeen	A	1-0	7,278
19 April 1986	Clydebank	A	1-1	1,534
26 April 1986	St. Mirren	H	1-2	4,986
3 May 1986	Hibernian	A	2-1	3,513
