Rank by average	Place	Couple	Total points	Number of dances	Average
1	1	Hayley & Daniel	303.5	12	25.3
2	2	Gary & Maria	254.5	12	21.2
3	4	Daniella & Matthew	210.5	10	21.2
4	3	Keiron & Brianne	237.5	12	19.8
5	5	Danny & Frankie	173.0	9	19.2
6	6	Mikey & Melanie	139.5	8	17.4
7	14	sinnita & Andrei	15.0	1	15.0
8	10	Heather & Matt	59.0	4	14.8
8	8	Sharron & Pavel	89.0	6	14.8
10	7	Emily & Fred	99.0	7	14.1
11	12	Jeremy & Suzie	24.5	2	12.3
11	11	Tana and Stuart	37.0	3	12.3
13	9	Hilary and Alexandra	54.0	5	10.8
