Class	Wheel arrangement	Manufacturer	Year made	Quantity made	Year(s) withdrawn
Dugald Drummond (1895–1912)	Dugald Drummond (1895–1912)	Dugald Drummond (1895–1912)	Dugald Drummond (1895–1912)	Dugald Drummond (1895–1912)	Dugald Drummond (1895–1912)
700	0-6-0	Dübs & Co.	1897	30	1957–1962
T7	4-2-2-0	Nine Elms Works	1897	1	1927
M7	0-4-4T	Nine Elms Works Eastleigh Works	1897–1911	105	1937–1965
C8	4-4-0	Nine Elms Works	1898	10	1933–1938
F9	4-2-4T	Nine Elms Works	1899	1	1940
T9	4-4-0	Nine Elms Works Dübs & Co.	1899–1901	66	1951–1963
E10	4-2-2-0	Nine Elms Works	1901	5	1926–1927
K10	4-4-0	Nine Elms Works	1901–1903	40	1947–1951
L11	4-4-0	Nine Elms Works	1903–1907	40	1949–1952
S11	4-4-0	Nine Elms Works	1903	10	1951–1954
L12	4-4-0	Nine Elms Works	1904–1905	20	1951–1955
F13	4-6-0	Nine Elms Works	1905	5	1921–1924
C14	2-2-0 T	Nine Elms Works	1906–1907	10	1916–1918
E14	4-6-0	Nine Elms Works	1907	1	1914
G14	4-6-0	Nine Elms Works	1908	5	1925
K14	0-4-0T	Nine Elms Works	1908	5	1948–1957
P14	4-6-0	Eastleigh Works	1910–1911	5	1925–1927
T14	4-6-0	Eastleigh Works	1911–1912	10	1940–1951
D15	4-4-0	Eastleigh Works	1912–1913	10	1951–1956
