Shooter	Event	Rank points	Score points	Total
Du Li ( CHN )	WCF 2007	Defending champion	Defending champion	Defending champion
Kateřina Emmons ( CZE )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Lioubov Galkina ( RUS )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Snježana Pejčić ( CRO )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Sonja Pfeilschifter ( GER )	WC Milan	15	15	30
Barbara Lechner ( GER )	WC Rio de Janeiro	15	11	26
Wu Liuxi ( CHN )	WC Milan	8	13	21
Agnieszka Staron ( POL )	WC Munich	8	13	21
Kim Eun-hye ( KOR )	WC Rio de Janeiro	8	11	19
Olga Dovgun ( KAZ )	WC Beijing	4	14	18
Emily Caruso ( USA )	WC Munich	4	14	18
Natalia Kalnysh ( UKR )	WC Beijing	3	13	16
