Pick	Player	Team	Position	School
31	Chris George	Kansas City Royals	P	Klein HS (Klein, TX)
32	Ben Diggins	St. Louis Cardinals	P	Bradshaw Mountain HS (Prescott Valley, AZ)
33	Brad Wilkerson	Montreal Expos	OF	University of Florida
34	Nate Cornejo	Detroit Tigers	P	Wellington HS (Wellington, KS)
35	Aaron Rowand	Chicago White Sox	OF	Cal State Fullerton University
36	Raphael Freeman	Colorado Rockies	OF	Dallas Christian School (Mesquite, TX)
37	Mike Nannini	Houston Astros	P	Green Valley HS (Henderson, NV)
38	Chris Jones	San Francisco Giants	P	South Mecklenburg HS (Charlotte, NC)
39	Mamon Tucker	Baltimore Orioles	OF	Stephen F. Austin HS (Austin, TX)
40	Jeff Winchester	Colorado Rockies	C	Archbishop Rummel HS (Metairie, LA)
41	Jeff Urban	San Francisco Giants	P	Ball State University
42	Eric Valent	Philadelphia Phillies	OF	UCLA
43	Mark Prior	New York Yankees	P	University HS (San Diego, CA)
