Team	Driver	Class	Chassis	Engine	Rounds
Hitech Racing	Max Chilton	C	Dallara F308	Mercedes HWA	All
Hitech Racing	Walter Grubmüller	C	Dallara F308	Mercedes HWA	All
Carlin Motorsport	Brendon Hartley	C	Dallara F308	Mercedes HWA	All
Carlin Motorsport	Jaime Alguersuari	C	Dallara F308	Mercedes HWA	All
Carlin Motorsport	Oliver Turvey	C	Dallara F308	Mercedes HWA	All
Carlin Motorsport	Sam Abay	C	Dallara F308	Mercedes HWA	All
Carlin Motorsport	Henry Surtees	N	Dallara F305	Mugen - Honda	21–22
Carlin Motorsport	Adriano Buzaid	N	Dallara F305	Mugen - Honda	21–22
Carlin Motorsport	Kristján Einar	N	Dallara F305	Mugen - Honda	1–20
Carlin Motorsport	Andrew Meyrick	N	Dallara F305	Mugen - Honda	1–12
Carlin Motorsport	Martin O'Connell	N	Dallara F305	Mugen - Honda	13–14
Nexa Racing	Viktor Jensen	C	Dallara F308	Mugen - Honda	3–14
Nexa Racing	Craig Reiff	N	Dallara F306	Mugen - Honda	1–8, 15–18
Räikkönen Robertson Racing	Henry Arundel	C	Dallara F308	Mercedes HWA	All
Räikkönen Robertson Racing	John Martin	C	Dallara F308	Mercedes HWA	All
Räikkönen Robertson Racing	Alistair Jackson	C	Dallara F308	Mercedes HWA	1–4
Räikkönen Robertson Racing	Clemente de Faria, Jr.	C	Dallara F308	Mercedes HWA	17–18
Räikkönen Robertson Racing	Atte Mustonen	C	Dallara F308	Mercedes HWA	All
Fortec Motorsport	Sebastian Hohenthal	C	Dallara F308	Mercedes HWA	1–16
Fortec Motorsport	Dean Smith	C	Dallara F308	Mercedes HWA	21–22
Fortec Motorsport	Marcus Ericsson	C	Dallara F308	Mercedes HWA	All
Fortec Motorsport	Philip Major	C	Dallara F308	Mercedes HWA	All
T-Sport	Sergio Pérez	C	Dallara F308	Mugen - Honda	All
T-Sport	Steven Guerrero	N	Dallara F306	Mugen - Honda	All
T-Sport	Salman Al Khalifa	N	Dallara F306	Mugen - Honda	1–20
T-Sport	Callum MacLeod	N	Dallara F306	Mugen - Honda	21–22
Ultimate Motorsport	Esteban Guerrieri	C	Mygale M-08F3	Mercedes	1–6, 19–20
Ultimate Motorsport	Alistair Jackson	C	Mygale M-08F3	Mercedes	7–18
Ultimate Motorsport	Ricardo Teixeira	C	Mygale M-08F3	Mercedes	1–20
Ultimate Motorsport	Michael Devaney	C	Mygale M-08F3	Mercedes	1–8
Ultimate Motorsport	Michael Devaney	C	Mygale M-08F3	Mercedes	9–20
Eurotek Motorsport	Oliver Oakes	C	Dallara F308	Mercedes HWA	3–4, 15–16
Eurotek Motorsport	Oliver Oakes	I	Dallara F308	Mercedes HWA	17–22
JTR with Marshall Westland	Nick Tandy	C	Mygale M-08F3	Mercedes HWA	1–18, 21–22
Fluid Motorsport	Jay Bridger	N	Dallara F307	Mugen - Honda	All
Fluid Motorsport	Stefan Wilson	N	Dallara F307	Mugen - Honda	All
C F Racing	Hywel Lloyd	N	Dallara F306	Mugen - Honda	All
Team Loctite	Niall Quinn	N	Dallara F306	Mugen - Honda	1–4, 7–8
Team Loctite	Jordan Williams	N	Dallara F306	Mugen - Honda	9–14
Litespeed F3	Callum MacLeod	N	SLC R1	Mugen - Honda	9–10
Litespeed F3	Jonathan Legris	N	SLC R1	Mugen - Honda	13–14, 17–18, 21–22
Ombra Racing	Matteo Chinosi	I	Dallara F308	Mugen - Honda	5–6
Ombra Racing	Federico Leo	I	Dallara F308	Mugen - Honda	5–6
HBR Motorsport	Daniel Campos-Hull	I	Dallara F308	Mercedes HWA	15–16
HBR Motorsport	Basil Shaaban	I	Dallara F308	Mercedes HWA	15–16
Cesario Formula	Clemente de Faria, Jr.	I	Dallara F308	Mugen - Honda	21–22
