Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	August 1, 1983	Indianapolis	Clay	Andrea Temesvári	2–6, 2–6
Runner-up	January 2, 1984	Washington	Carpet (I)	Hana Mandlíková	1–6, 1–6
Runner-up	September 24, 1984	New Orleans	Carpet (I)	Martina Navratilova	4–6, 3–6
Winner	October 29, 1984	Zürich	Carpet (I)	Claudia Kohde-Kilsch	6–1, 0–6, 6–2
Runner-up	January 14, 1985	Denver	Carpet (I)	Peanut Louie	4–6, 6–4, 4–6
Winner	April 15, 1985	Amelia Island	Clay	Chris Evert-Lloyd	6–4, 6–3
Runner-up	July 22, 1985	Indianapolis	Clay	Andrea Temesvári	6–7(0), 3–6
Winner	October 28, 1985	Zürich	Carpet (I)	Hana Mandlíková	6–1, 6–3
Runner-up	September 15, 1986	Tampa	Hard	Lori McNeil	6–2, 5–7, 2–6
Winner	October 27, 1986	Indianapolis	Hard (I)	Melissa Gurney	6–3, 6–3
Winner	January 5, 1987	Sydney	Grass	Pam Shriver	6–2, 6–4
Winner	February 9, 1987	San Francisco	Carpet (I)	Sylvia Hanika	7–5, 4–6, 6–3
Runner-up	August 17, 1987	Toronto	Hard	Pam Shriver	4–6, 1–6
Runner-up	October 24, 1988	Indianapolis	Hard (I)	Katerina Maleeva	3–6, 6–2, 2–6
Runner-up	February 13, 1989	Washington	Carpet (I)	Steffi Graf	1–6, 5–7
Winner	February 20, 1989	Oakland	Carpet (I)	Larisa Savchenko	6–1, 6–1
Runner-up	June 12, 1989	Birmingham	Grass	Martina Navratilova	6–7(5), 3–6
Winner	July 17, 1989	Newport	Grass	Pam Shriver	6–0, 6–1
Runner-up	July 31, 1989	San Diego	Hard	Steffi Graf	4–6, 5–7
Runner-up	October 30, 1989	Worcester	Carpet (I)	Martina Navratilova	2–6, 3–6
Winner	November 6, 1989	Chicago	Carpet (I)	Larisa Savchenko	6–3, 2–6, 6–4
Runner-up	February 19, 1990	Washington	Carpet (I)	Martina Navratilova	1–6, 0–6
Winner	June 11, 1990	Birmingham	Grass	Helena Suková	6–4, 6–1
Runner-up	June 25, 1990	Wimbledon	Grass	Martina Navratilova	4–6, 1–6
Runner-up	October 22, 1990	Dorado	Hard	Jennifer Capriati	7–5, 4–6, 2–6
Runner-up	February 11, 1991	Chicago	Carpet (I)	Martina Navratilova	1–6, 2–6
Runner-up	October 22, 1991	Brighton	Carpet (I)	Steffi Graf	7–5, 4–6, 1–6
Winner	February 17, 1992	Oklahoma City	Hard (I)	Lori McNeil	7–5, 3–6, 7–6(10)
Runner-up	April 13, 1992	Houston	Clay	Monica Seles	1–6, 1–6
Winner	February 15, 1993	Oklahoma City	Hard (I)	Patty Fendick	6–2, 6–2
Runner-up	June 7, 1993	Birmingham	Grass	Lori McNeil	4–6, 6–2, 3–6
Runner-up	July 26, 1993	Stratton Mountain	Hard	Conchita Martínez	3–6, 2–6
Winner	October 18, 1993	Budapest	Carpet (I)	Sabine Appelmans	7–5, 6–2
Runner-up	November 1, 1993	Oakland	Carpet (I)	Martina Navratilova	2–6, 6–7(1)
Runner-up	June 6, 1994	Birmingham	Grass	Lori McNeil	2–6, 2–6
Winner	June 12, 1995	Birmingham	Grass	Lori McNeil	6–3, 6–3
