Rank	City	2010 Pop	2000 Pop	Δ Current Pop
1	Louisville	765,515	551,299	214,216
2	Lexington	295,803	260,512	35,291
3	Bowling Green	60,600	49,296	11,304
4	Owensboro	57,265	54,067	3,198
5	Covington	40,640	43,370	-2,730
6	Hopkinsville	31,577	30,089	1,488
7	Richmond	31,364	27,152	4,212
8	Florence	29,951	23,551	6,400
9	Georgetown	29,098	18,080	11,018
10	Henderson	28,757	27,373	1,384
11	Elizabethtown	28,531	22,542	5,989
12	Nicholasville	28,015	19,680	8,335
13	Jeffersontown	26,595	26,442	153
14	Frankfort	25,527	27,741	-2,214
15	Paducah	25,024	26,442	-1,418
