Date	Visitor	Score	Home	Record
March 1	Chicago	3 – 5	Colorado	36–18–10
March 3	Toronto	0 – 4	Colorado	37–18–10
March 5	San Jose	5 – 3	Colorado	37–19–10
March 8	Detroit	4 – 2	Colorado	37–20–10
March 9	Colorado	7 – 5	Vancouver	38–20–10
March 13	Colorado	0 – 4	Anaheim	38–21–10
March 17	Edmonton	1 – 8	Colorado	39–21–10
March 19	Colorado	4 – 3	Vancouver	40–21–10
March 20	Colorado	5 – 2	Los Angeles	41–21–10
March 22	Colorado	0 – 7	Detroit	41–22–10
March 24	Colorado	5 – 3	Winnipeg	42–22–10
March 27	Winnipeg	3 – 1	Colorado	42–23–10
March 28	Colorado	8 – 3	San Jose	43–23–10
