Week	Date	Opponent	Result	Attendance
1	September 7, 1986	at Tampa Bay Buccaneers	W 31-7	50,780
2	September 14, 1986	at Los Angeles Rams	L 13-16	65,195
3	September 21, 1986	New Orleans Saints	W 26-17	58,297
4	September 28, 1986	at Miami Dolphins	W 31-16	70,264
5	October 5, 1986	Indianapolis Colts	W 35-15	57,252
6	October 12, 1986	Minnesota Vikings	L 24-27 (OT)	58,637
7	October 19, 1986	at Atlanta Falcons	T 10-10 (OT)	55,306
8	October 26, 1986	at Green Bay Packers (at Milwaukee)	W 31-17	50,557
9	November 2, 1986	at New Orleans Saints	L 10-23	53,234
10	November 9, 1986	St. Louis Cardinals	W 43-17	59,172
11	November 17, 1986 (Mon)	at Washington Redskins	L 6-14	54,774
12	November 23, 1986	Atlanta Falcons	W 20-0	58,747
13	December 1, 1986 (Mon)	New York Giants	L 17-21	59,777
14	December 7, 1986	New York Jets	W 24-10	58,091
15	December 14, 1986	at New England Patriots	W 29-24	60,787
16	December 19, 1986 (Fri)	Los Angeles Rams	W 24-14	60,366
