Week	Date	Opponent	Result	Attendance
1	September 11, 2005	at San Francisco 49ers	L 28-25	67,918
2	September 18, 2005	at Arizona Cardinals	W 17-12	45,160
3	September 25, 2005	Tennessee Titans	W 31-27	65,835
4	October 2, 2005	at New York Giants	L 44-24	78,453
5	October 9, 2005	Seattle Seahawks	L 37-31	65,707
6	October 17, 2005	at Indianapolis Colts	L 45-28	57,307
7	October 23, 2005	New Orleans Saints	W 28-17	64,586
8	October 30, 2005	Jacksonville Jaguars	W 24-21	65,251
9	Bye	Bye	Bye	Bye
10	November 13, 2005	at Seattle Seahawks	L 31-16	67,192
11	November 20, 2005	Arizona Cardinals	L 38-28	65,750
12	November 27, 2005	at Houston Texans	W 33-27	70,010
13	December 4, 2005	Washington Redskins	L 24-9	65,701
14	December 11, 2005	at Minnesota Vikings	L 27-13	64,005
15	December 18, 2005	Philadelphia Eagles	L 17-16	65,382
16	December 24, 2005	San Francisco 49ers	L 24-20	65,473
17	January 1, 2006	at Dallas Cowboys	W 20-10	63,131
