Entrant	Constructor	Chassis	Engine †	Tyre	Driver	Rounds
West McLaren Mercedes	McLaren - Mercedes	MP4/14	Mercedes FO110H	B	Mika Häkkinen	All
West McLaren Mercedes	McLaren - Mercedes	MP4/14	Mercedes FO110H	B	David Coulthard	All
Scuderia Ferrari Marlboro	Ferrari	F399	Ferrari 048	B	Michael Schumacher	1–8, 15–16
Scuderia Ferrari Marlboro	Ferrari	F399	Ferrari 048	B	Mika Salo	9–14
Scuderia Ferrari Marlboro	Ferrari	F399	Ferrari 048	B	Eddie Irvine	All
Winfield Williams	Williams - Supertec	FW21	Supertec FB01	B	Alessandro Zanardi	All
Winfield Williams	Williams - Supertec	FW21	Supertec FB01	B	Ralf Schumacher	All
Benson and Hedges Jordan	Jordan - Mugen-Honda	199	Mugen-Honda MF-301 HD	B	Damon Hill	All
Benson and Hedges Jordan	Jordan - Mugen-Honda	199	Mugen-Honda MF-301 HD	B	Heinz-Harald Frentzen	All
Mild Seven Benetton Playlife	Benetton - Playlife	B199	Playlife FB01	B	Giancarlo Fisichella	All
Mild Seven Benetton Playlife	Benetton - Playlife	B199	Playlife FB01	B	Alexander Wurz	All
Red Bull Sauber Petronas	Sauber - Petronas	C18	Petronas SPE-03A	B	Jean Alesi	All
Red Bull Sauber Petronas	Sauber - Petronas	C18	Petronas SPE-03A	B	Pedro Diniz	All
Repsol Arrows	Arrows	A20	Arrows T2-F1	B	Pedro de la Rosa	All
Repsol Arrows	Arrows	A20	Arrows T2-F1	B	Toranosuke Takagi	All
Stewart Ford	Stewart - Ford	SF3	Ford CR-1	B	Rubens Barrichello	All
Stewart Ford	Stewart - Ford	SF3	Ford CR-1	B	Johnny Herbert	All
Gauloises Prost Peugeot	Prost - Peugeot	AP02	Peugeot A18	B	Olivier Panis	All
Gauloises Prost Peugeot	Prost - Peugeot	AP02	Peugeot A18	B	Jarno Trulli	All
Fondmetal Minardi Team	Minardi - Ford	M01	Ford VJM1 Zetec-R Ford VJM2 Zetec-R	B	Luca Badoer	1, 3–16
Fondmetal Minardi Team	Minardi - Ford	M01	Ford VJM1 Zetec-R Ford VJM2 Zetec-R	B	Stéphane Sarrazin	2
Fondmetal Minardi Team	Minardi - Ford	M01	Ford VJM1 Zetec-R Ford VJM2 Zetec-R	B	Marc Gené	All
British American Racing	BAR - Supertec	01	Supertec FB01	B	Jacques Villeneuve	All
British American Racing	BAR - Supertec	01	Supertec FB01	B	Ricardo Zonta	1–2, 6–16
British American Racing	BAR - Supertec	01	Supertec FB01	B	Mika Salo	3–5
