Peak	Height (m)	Prom. (m)	Class	Parent
Grasmoor	852	519	Marilyn	Scafell Pike
Crag Hill	839	117	Hewitt	Grasmoor
Grisedale Pike	791	189	Marilyn	Grasmoor
Sail	773	32	Hewitt	Crag Hill
Wandope	772	30	Hewitt	Crag Hill
Hopegill Head	770	97	Hewitt	Grisedale Pike
Sand Hill	756	18	Nuttall	Hopegill Head
Dale Head	753	397	Marilyn	Great Gable
Hobcarton Crag	739	37	Hewitt	Grisedale Pike
Robinson	737	161	Marilyn	Dale Head
Hindscarth	727	71	Hewitt	Dale Head
Whiteside east top	719	39	Hewitt	Hopegill Head
Whiteside	707	18	Nuttall	Whiteside east top
Ladyside Pike	703	28	Nuttall	Hopegill Head
Scar Crags	672	55	Hewitt	Crag Hill
Whiteless Pike	660	36	Hewitt	Crag Hill
High Spy	653	148	Hewitt	Dale Head
Causey Pike	637	40	Hewitt	Scar Crags
High Spy north top	634	16	Nuttall	High Spy
Hobcarton End	634	15	Nuttall	Grisedale Pike
