Week	Date	Opponent	Result	Attendance
1	September 3, 2000	San Francisco 49ers	W 36-28	54,626
2	September 10, 2000	at Denver Broncos	L 42-14	75,466
3	September 17, 2000	at Carolina Panthers	W 15-10	66,498
4	September 24, 2000	St. Louis Rams	L 41-20	58,761
5	October 1, 2000	at Philadelphia Eagles	L 38-10	65,424
6	October 8, 2000	New York Giants	L 13-6	50,947
7	October 15, 2000	at St. Louis Rams	L 45-29	66,019
8	October 22, 2000	New Orleans Saints	L 21-19	56,508
9	October 29, 2000	Carolina Panthers	W 13-12	46,178
10	November 5, 2000	Tampa Bay Buccaneers	L 27-14	70,097
11	November 12, 2000	at Detroit Lions	L 13-10	74,309
12	November 19, 2000	at San Francisco 49ers	L 16-6	67,447
13	November 26, 2000	at Oakland Raiders	L 41-14	55,175
14	December 3, 2000	Seattle Seahawks	L 30-10	44,680
15	Bye	Bye	Bye	Bye
16	December 17, 2000	at New Orleans Saints	L 23-7	64,900
17	December 24, 2000	Kansas City Chiefs	W 29-13	41,017
