Year	Competition	Venue	Position	Notes
2001	African Junior Championships	Réduit , Mauritius	1st	3000 m s'chase
2002	Commonwealth Games	Manchester , England	2nd	3000 m s'chase
2002	African Championships	Radès , Tunisia	4th	3000 m s'chase
2003	All-Africa Games	Abuja , Nigeria	1st	3000 m s'chase
2003	World Championships	Paris , France	2nd	3000 m s'chase
2003	World Athletics Final	Monte Carlo , Monaco	3rd	3000 m s'chase
2004	Olympic Games	Athens , Greece	1st	3000 m s'chase
2004	World Athletics Final	Monte Carlo , Monaco	2nd	3000 m s'chase
2005	World Championships	Helsinki , Finland	2nd	3000 m s'chase
2005	World Athletics Final	Monte Carlo , Monaco	2nd	3000 m s'chase
2006	Commonwealth Games	Melbourne , Australia	1st	3000 m s'chase
2006	World Athletics Final	Stuttgart , Germany	5th	3000 m s'chase
2007	All-Africa Games	Algiers , Algeria	2nd	3000 m steeple
2007	World Championships	Osaka , Japan	2nd	3000 m s'chase
2008	Olympic Games	Beijing , China	7th	3000 m s'chase
2008	World Athletics Final	Stuttgart , Germany	2nd	3000 m s'chase
2009	World Championships	Berlin , Germany	1st	3000 m s'chase
2009	World Athletics Final	Thessaloniki , Greece	1st	3000 m s'chase
2010	African Championships	Nairobi , Kenya	2nd	3000 m s'chase
2011	World Championships	Daegu , South Korea	1st	3000 m s'chase
2012	Olympic Games	London , England	1st	3000 m s'chase
2013	World Championships	Moscow , Russia	1st	3000 m s'chase
