Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
3	November 4	Dallas	L 81–98 (OT)	Tony Parker (22)	Tim Duncan (15)	AT&T Center 17,398	0–3
4	November 5	@ Minnesota	W 129–125 (2OT)	Tony Parker (55)	Tim Duncan (16)	Target Center 11,112	1–3
5	November 7	Miami	L 83–99 (OT)	Tim Duncan (22)	Tim Duncan (11)	AT&T Center 17,387	1–4
6	November 11	New York	W 92–80 (OT)	Tim Duncan (23)	Tim Duncan , Fabricio Oberto (9)	AT&T Center 16,569	2–4
7	November 12	@ Milwaukee	L 78–82 (OT)	Tim Duncan (24)	Anthony Tolliver (6)	Bradley Center 14,036	2–5
8	November 14	Houston	W 77–75 (OT)	Tim Duncan (22)	Roger Mason (9)	AT&T Center 18,797	3–5
9	November 16	@ Sacramento	W 90–88 (OT)	Michael Finley (21)	Tim Duncan (10)	ARCO Arena 11,699	4–5
10	November 17	@ L.A. Clippers	W 86–83 (OT)	Roger Mason (21)	Tim Duncan (15)	Staples Center 14,962	5–5
11	November 19	Denver	L 81–91 (OT)	George Hill (20)	Tim Duncan (11)	AT&T Center 16,559	5–6
12	November 21	Utah	W 119–94 (OT)	Roger Mason (29)	Tim Duncan (7)	AT&T Center 17,354	6–6
13	November 24	@ Memphis	W 94–81 (OT)	George Hill (20)	Tim Duncan (11)	FedExForum 12,053	7–6
14	November 26	Chicago	W 98–88 (OT)	Tim Duncan (21)	George Hill (11)	AT&T Center 17,837	8–6
15	November 28	Memphis	W 109–98 (OT)	Roger Mason (20)	Tim Duncan (12)	AT&T Center 17,074	9–6
16	November 29	@ Houston	L 84–103 (OT)	Tim Duncan , Matt Bonner (17)	Tim Duncan (9)	Toyota Center 18,282	9–7
