State	Date	Yes vote	No vote	Vote outcome
West:	West:	West:	West:	West:
Alaska	1998	68% (152,965)	32% (71,631)	Yes
Hawaii	1998	71% (285,384)	29% (117,827)	Yes
Nevada	2002	67% (337,183)	33% (164,555)	Yes
Montana	2004	67% (295,070)	33% (148,263)	Yes
Oregon	2004	57% (1,028,546)	43% (787,556)	Yes
Utah	2004	66% (593,297)	34% (307,488)	Yes
Arizona	2006	48% (574,332)	52% (607,769)	No
Colorado	2006	56% (865,126)	44% (674,030)	Yes
Idaho	2006	63% (282,301)	37% (163,408)	Yes
Arizona	2008	56% (1,258,355)	44% (980,753)	Yes
California	2008	52% (7,001,084)	48% (6,401,482)	Yes1
Midwest:	Midwest:	Midwest:	Midwest:	Midwest:
Nebraska	2000	70% (450,073)	30% (189,555)	Yes
Missouri	2004	71% (1,055,771)	29% (439,529)	Yes
Michigan	2004	59% (2,698,077)	41% (1,904,319)	Yes
North Dakota	2004	73% (223,572)	27% (81,716)	Yes
Ohio	2004	62% (3,329,335)	38% (2,065,462)	Yes
Oklahoma	2004	76% (1,075,216)	24% (347,303)	Yes
Kansas	2005	70% (414,106)	30% (178,018)	Yes
South Dakota	2006	52% (172,242)	48% (160,173)	Yes
Wisconsin	2006	59% (1,260,554)	41% (861,554)	Yes
Minnesota	2012	47% (1,399,938)	53% (1,550,844)	No
South:	South:	South:	South:	South:
Louisiana	2004	78% (618,928)	22% (177,103)	Yes
Arkansas	2004	75% (753,770)	25% (251,914)	Yes
Georgia	2004	76% (2,454,912)	24% (768,703)	Yes
Kentucky	2004	75% (1,222,125)	25% (417,097)	Yes
Mississippi	2004	86% (957,104)	14% (155,648)	Yes
Texas	2005	76% (1,718,513)	24% (536,052)	Yes
Alabama	2006	81% (734,746)	19% (170,399)	Yes
South Carolina	2006	78% (825,766)	22% (232,978)	Yes
Tennessee	2006	81% (1,419,434)	19% (327,536)	Yes
Virginia	2006	57% (1,328,134)	43% (998,483)	Yes
Florida	2008	62% (4,890,883)	38% (3,008,026)	Yes
North Carolina	2012	61% (1,317,976)	39% (840,802)	Yes
