Week	Date	Opponent	Result	Attendance
1	September 14, 1969	Kansas City Chiefs	L 27–9	47,988
2	September 21, 1969	at Cincinnati Bengals	L 34–20	26,243
3	September 28, 1969	New York Jets	W 34–27	54,042
4	October 4, 1969	Cincinnati Bengals	W 21–14	52,748
5	October 11, 1969	at Miami Dolphins	W 21–14	34,585
6	October 19, 1969	at Boston Patriots	W 13–10	18,346
7	October 26, 1969	Oakland Raiders	L 24–12	54,008
8	November 2, 1969	at Denver Broncos	L 13–0	45,511
9	November 9, 1969	at Kansas City Chiefs	L 27–3	51,104
10	November 16, 1969	at Oakland Raiders	L 21–16	54,372
11	November 23, 1969	Denver Broncos	W 45–24	34,664
12	November 27, 1969	at Houston Oilers	W 21–17	40,065
13	December 7, 1969	Boston Patriots	W 28–18	33,146
14	December 14, 1969	Buffalo Bills	W 45–6	47,582
