Date	Opponent	Score	Loss	Attendance	Record
July 1	Mariners	4 - 3	Jackson (4-3)	50,270	44-33
July 2	Twins	4 - 3	Leach (0-1)	48,676	45-33
July 3	Twins	4 - 0	Anderson (4-7)	50,071	46-33
July 4	Twins	1 - 0	Key (10-4)	50,293	46-34
July 5	@ Mariners	2 - 1	Holman (7-9)	21,647	47-34
July 6	@ Mariners	4 - 3 (10)	Swan (3-2)	48,750	48-34
July 7	@ Mariners	5 - 2	Hanson (4-4)	27,812	49-34
July 11	Rangers	2 - 0	Brown (7-7)	50,276	50-34
July 12	Rangers	6 - 2	Guzmán (4-4)	50,279	51-34
July 13	Rangers	3 - 2	Russell (3-2)	50,270	52-34
July 14	Rangers	8 - 6	Key (10-5)	50,294	52-35
July 15	@ Royals	5 - 3 (12)	Crawford (2-1)	29,723	53-35
July 16	@ Royals	2 - 1 (10)	Candiotti (9-8)	22,134	53-36
July 18	@ Rangers	4 - 0	Ryan (5-5)	37,268	54-36
July 19	@ Rangers	7 - 2	Barfield (4-4)	35,144	55-36
July 20	@ Rangers	11 - 6	Key (10-6)	39,276	55-37
July 21	@ Rangers	6 - 5	Timlin (9-5)	31,803	55-38
July 23	@ White Sox	3 - 2	Candiotti (9-9)	34,779	55-39
July 24	@ White Sox	2 - 1	McDowell (12-5)	39,599	56-39
July 25	@ White Sox	7 - 1	Stottlemyre (10-4)	42,796	56-40
July 26	Royals	6 - 5 (11)	Gordon (5-9)	50,326	57-40
July 27	Royals	5 - 2 (10)	Timlin (9-6)	50,291	57-41
July 28	Royals	10 - 4	Candiotti (9-10)	50,291	57-42
July 29	White Sox	12 - 4	Wells (12-5)	50,298	57-43
July 30	White Sox	8 - 7	MacDonald (2-1)	50,291	57-44
July 31	Indians	3 - 1	King (4-6)	50,276	58-44
