Place	Player	Country	Score	To par	Money ( $ )
T1	Tommy Armour	Scotland United States	78-71-76-76=301	+13	Playoff
T1	Harry Cooper	England United States	74-76-74-77=301	+13	Playoff
3	Gene Sarazen	United States	74-74-80-74=302	+14	200
4	Emmett French	United States	75-79-77-73=304	+16	150
5	Bill Mehlhorn	United States	75-77-80-73=305	+17	100
6	Walter Hagen	United States	77-73-76-81=307	+19	90
T7	Archie Compston	England	79-74-76-79=308	+20	73
T7	Johnny Farrell	United States	81-73-78-76=308	+20	73
T7	Johnny Golden	United States	83-77-75-73=308	+20	73
T7	Harry Hampton	United States	73-78-80-77=308	+20	73
