Overall place	Yacht name	Skipper	Points	Combined elapsed time
1	BG Spirit	Andy Forbes	90	166d 00h 50m 36s
2	Barclays Adventurer	Stuart Jackson	76	168d 09h 39m 09s
3	BP Explorer	David Melville	74	167d 13h 16m 25s
4	Spirit of Sark	Duggie Gillespie	73	166d 19h 15m 25s
5	SAIC La Jolla	Eero Lehtinen	71	168d 20h 09m 51s
6	Team Stelmar	Clive Cosby	66	184d 15h 04m 11s
7=	Me To You	James Allen	63	170d 16h 07m 02s
7=	VAIO	Amedeo Sorrentino	63	170d 11h 31m 10s
9	Samsung	Matt Riddell	58**	170d 06h 13m 10s
10	Imagine it. Done	Dee Caffari	56*	168d 23h 31m 26s
11	Pindar	Loz Marriott	54	174d 01h 11m 59s
12	Save the Children	Paul Kelly	41**	176d 03h 37m 23s
