Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Whitley Bay	42	10	7	95	38	+57	85
2	Emley	42	12	6	78	37	+41	84
3	Worksop Town	42	7	10	85	56	+29	82
4	Accrington Stanley	42	13	8	83	57	+26	76
5	Rhyl	42	7	14	62	63	−1	70
6	Lancaster City	42	8	15	58	56	+2	65
7	Eastwood Town	42	11	14	70	60	+10	62
8	Warrington Town	42	10	15	68	52	+16	61
9	Bridlington Town	42	15	12	72	52	+20	60
10	Curzon Ashton	42	14	14	49	57	−8	56
11	Congleton Town	42	12	16	57	71	−14	54
12	Netherfield	42	11	17	67	66	+1	53
13	Newtown	42	12	17	68	75	−7	51
14	Rossendale United	42	13	17	66	67	−1	49
15	Caernarfon Town	42	10	19	51	64	−13	49
16	Radcliffe Borough	42	12	18	50	69	−19	48
17	Irlam Town	42	11	19	55	76	−21	47
18	Winsford United	42	13	18	51	66	−15	46
19	Harrogate Town	42	13	18	55	73	−18	46
20	Workington	42	11	20	54	67	−13	44
21	Farsley Celtic	42	9	22	49	78	−29	42
22	Alfreton Town	42	12	23	41	84	−43	33
