Title	Translation	Lyricist	Composer	Duration
"Uyanış" (aka "Yangın Yeminler")	Awakening	Işın Karaca & Zeki Güner	Işın Karaca & Erdem Yörük	4:45
"5 Dakika" (featuring Ege Çubukçu )	5 minutes	Sibel Alaş	Işın Karaca & Erdem Yörük	4:47
"Gidemedim"	I couldn't go	Zeki Güner	Raşit Gözdamla	6:08
"Sessiz Hikayem"	My silent story	Işın Karaca & Zeki Güner	Işın Karaca & Erdem Yörük	4:23
"Bilmece"	Puzzle	Işın Karaca & Zeki Güner	Işın Karaca	3:31
"1000 Yalan"	1000 lies	Işın Karaca & Zeki Güner	Işın Karaca & Erdem Yörük	4:46
"Ben Bilirim"	I know	Işın Karaca & Zeki Güner	Işın Karaca & Erdem Yörük	4:06
"Aşk Çizgisi"	Love line	Işın Karaca & Sibel Alaş	Işın Karaca & Erdem Yörük	4:25
"Başrol"	Leading role	Işın Karaca & Zeki Güner & Funky C	Işın Karaca & Funky C	4:31
"Bambaşka Biri"	Totally different person	Fikret Şenes	Frederic Mania	4:57
