Round	Pick	Name	Position	School
1	18	Mike Sherrard	Wide Receiver	UCLA
2	33	Darryl Clack	Running Back	Arizona State
3	74	Mark Walen	Defensive Tackle	UCLA
4	100	Max Zendejas	Placekicker	Arizona
6	140	Thornton Chandler	Tight End	Alabama
6	150	Stan Gelbaugh	Quarterback	Maryland
6	158	Lloyd Yancey	Offensive Guard	Temple
7	185	Johnny Holloway	Wide Receiver	Kansas
8	212	Topper Clemons	Running Back	Wake Forest
9	242	John Ionata	Offensive Guard	Florida State
10	269	Bryan Chester	Offensive Guard	Texas
11	296	Garth Jax	Linebacker	Florida State
12	307	Chris Duliban	Linebacker	Texas
12	322	Tony Flack	Defensive Back	Georgia
