Driver	Constructor	Laps	Time/Retired	Grid
Damon Hill	Williams - Renault	69	1:36:03.465	1
Jacques Villeneuve	Williams - Renault	69	+ 4.183	2
Jean Alesi	Benetton - Renault	69	+ 54.656	4
David Coulthard	McLaren - Mercedes	69	+ 1:03.673	10
Mika Häkkinen	McLaren - Mercedes	68	+ 1 Lap	6
Martin Brundle	Jordan - Peugeot	68	+ 1 Lap	9
Johnny Herbert	Sauber - Ford	68	+ 1 Lap	15
Giancarlo Fisichella	Minardi - Ford	67	+ 2 Laps	16
Pedro Lamy	Minardi - Ford	44	Collision	19
Luca Badoer	Forti - Ford	44	Gearbox	20
Gerhard Berger	Benetton - Renault	42	Spun off	7
Michael Schumacher	Ferrari	41	Halfshaft	3
Olivier Panis	Ligier - Mugen-Honda	39	Engine	11
Mika Salo	Tyrrell - Yamaha	39	Engine	14
Pedro Diniz	Ligier - Mugen-Honda	38	Engine	18
Rubens Barrichello	Jordan - Peugeot	22	Clutch	8
Andrea Montermini	Forti - Ford	22	Electrical	22
Heinz-Harald Frentzen	Sauber - Ford	19	Gearbox	12
Jos Verstappen	Footwork - Hart	10	Engine	13
Ricardo Rosset	Footwork - Hart	6	Collision	21
Ukyo Katayama	Tyrrell - Yamaha	6	Collision	17
Eddie Irvine	Ferrari	1	Suspension	5
