Date	Course	Distance	Winner	Race Leader
6 May	Milan to Turin	km (mi)	Learco Guerra ( ITA )	Learco Guerra ( ITA )
7 May	Turin to Genoa	km (mi)	Alfredo Binda ( ITA )	Alfredo Binda ( ITA )
8 May	Genoa to Pisa	km (mi)	Learco Guerra ( ITA )	Alfredo Binda ( ITA )
9 May	Rest day	Rest day	Rest day	Rest day
10 May	Pisa to Florence	km (mi)	Giuseppe Olmo ( ITA )	Alfredo Binda ( ITA )
11 May	Florence to Grosseto	km (mi)	Learco Guerra ( ITA )	Jef Demuysere ( BEL )
12 May	Grosseto to Rome	km (mi)	Mario Cipriani ( ITA )	Jef Demuysere ( BEL )
13 May	Rest day	Rest day	Rest day	Rest day
14 May	Rome to Naples	km (mi)	Gerard Loncke ( BEL )	Jef Demuysere ( BEL )
15 May	Naples to Foggia	km (mi)	Alfredo Binda ( ITA )	Alfredo Binda ( ITA )
16 May	Rest day	Rest day	Rest day	Rest day
17 May	Foggia to Chieti	km (mi)	Alfredo Binda ( ITA )	Alfredo Binda ( ITA )
18 May	Chieti to Ascoli Piceno	km (mi)	Alfredo Binda ( ITA )	Alfredo Binda ( ITA )
19 May	Rest day	Rest day	Rest day	Rest day
20 May	Ascoli Piceno to Riccione	km (mi)	Fernand Cornez ( FRA )	Alfredo Binda ( ITA )
21 May	Riccione to Bologna	km (mi)	Giuseppe Olmo ( ITA )	Alfredo Binda ( ITA )
22 May	Bologna to Ferrara	km (mi)	Alfredo Binda ( ITA )	Alfredo Binda ( ITA )
23 May	Rest day	Rest day	Rest day	Rest day
24 May	Ferrara to Udine	km (mi)	Ettore Meini ( ITA )	Alfredo Binda ( ITA )
25 May	Udine to Bassano del Grappa	km (mi)	Ettore Meini ( ITA )	Alfredo Binda ( ITA )
26 May	Bassano del Grappa to Bolzano	km (mi)	Gerard Loncke ( BEL )	Alfredo Binda ( ITA )
27 May	Rest day	Rest day	Rest day	Rest day
28 May	Bolzano to Milan	km (mi)	Alfredo Binda ( ITA )	Alfredo Binda ( ITA )
Total	km (mi)	km (mi)	km (mi)	km (mi)
