Name	Nationality	Position	Flamengo career	Appearances	Goals
Adriano	Brazil	FW	2000–2001 2009–2010	94	44
Adílio	Brazil	AM	1978–1987	616	128
Alfredinho	Brazil	FW	1934–1936	105	101
Aldair	Brazil	CB	1985–1989	185	11
Andrade	Brazil	DM	1979–1987	569	28
Athirson	Brazil	LB/CM	1996–2000 2002–2004	252	37
Bebeto	Brazil	FW	1983–1989 1996	307	151
Jorge Benítez	Paraguay	AM/FW	1952–1956	115	75
Beto	Brazil	AM	1998–2002	177	32
Biguá	Brazil	RB/DM	1941–1953	390	7
Borgerth	Brazil	FW	1912–1916	45	21
Modesto Bria	Paraguay	DM	1943–1953	369	8
Bruno	Brazil	GK	2006–2010	232	4
Candiota	Brazil	FW	1919–1927	118	50
Cantarele	Brazil	GK	1973–1989	549	0
Carlinhos	Brazil	DM	1958–1969	517	23
Carpegiani	Brazil	DM	1977–1981	223	12
Cláudio Adão	Brazil	FW	1977–1980 1983	154	82
Dequinha	Brazil	DM	1950–1959	384	8
Dida	Brazil	AM/FW	1954–1963	357	264
Djalminha	Brazil	AM	1989–1993	133	28
Domingos da Guia	Brazil	CB	1936–1943	230	0
Narciso Doval	Argentina	FW	1969–1976	263	92
Durval	Brazil	FW	1948–1951	133	124
Edílson	Brazil	FW	2000–2001 2003	115	51
Esquerdinha	Brazil	FW	1948–1955	280	117
Evaristo	Brazil	FW	1953–1957 1965–1966	191	103
Fabio Luciano	Brazil	CB	2007–2009	93	7
Felipe	Brazil	AM	2003–2004	87	12
Fio	Brazil	FW	1965–1973	288	79
Flávio Costa	Brazil	DM	1926–1936	145	15
Sinforiano Garcia	Paraguay	GK	1949–1958	276	0
Gaúcho	Brazil	FW	1990–1993	200	98
Geraldo	Brazil	AM	1973–1976	169	13
Gérson	Brazil	CM	1959–1963	153	86
Gilmar	Brazil	GK	1991–1994	239	0
Henrique	Brazil	FW	1954–1963	412	216
Ibson	Brazil	CM	2003–2005 2007–2009 2012–2013	234	35
Índio	Brazil	FW	1951–1957	218	142
Jadir	Brazil	RB/DM	1952–1962	501	8
Jaime	Brazil	LB/DM	1938–1950	342	31
Jarbas	Brazil	LW	1933–1946	381	154
Joel	Brazil	RW	1951–1958 1961–1963	414	116
Jordan	Brazil	LB/DM	1952–1963	608	3
Jorginho	Brazil	RB	1984–1989	246	8
Juan	Brazil	LB	2006–2010	251	31
Juan	Brazil	CB	1996–2002	248	30
Júlio César	Brazil	GK	1997–2004	285	0
Júlio César "Uri Geller"	Brazil	LW	1975–1977 1979–1981	134	10
Júnior	Brazil	LB/CM	1974–1984 1989–1993	874	77
Júnior Baiano	Brazil	CB	1989–1993 1996–1998 2004–2005	314	32
Leandro	Brazil	RB/CB	1978–1990	417	14
Leandro Ávila	Brazil	DM	1998–2002	156	0
Leonardo	Brazil	LB/AM	1987–1990 2002	176	10
Leonardo Moura	Brazil	RB	2005–	447	44
Leônidas	Brazil	FW	1936–1941	149	153
Liminha	Brazil	CM	1968–1975	513	29
Marcelinho	Brazil	AM	1988–1993	240	47
Marinho	Brazil	CB	1980–1984	219	6
Marquinhos	Brazil	CM	1988–1995	335	27
Moacir	Brazil	CM	1956–1961	226	59
Moderato	Brazil	FW	1923–1930	147	27
Mozer	Brazil	CB	1980–1987	293	21
Nélio	Brazil	AM	1990–1998	342	71
Newton Canegal	Brazil	CB	1939–1952	389	1
Nonô	Brazil	FW	1921–1930	143	123
Nunes	Brazil	FW	1980–1982 1984 1987	214	99
Paulo César Caju	Brazil	AM	1972–1974	105	19
Paulo Henrique	Brazil	LB	1960–1972	437	14
Pavão	Brazil	CB	1951–1959	357	5
Perácio	Brazil	FW	1941–1947 1951	123	97
Dejan Petković	Serbia	AM	2000–2002 2009–2011	198	57
Sidney Pullen	England	DM	1915–1923	130	47
Pirillo	Brazil	FW	1941–1947	236	204
Raul	Brazil	GK	1978–1983	228	0
Renato	Brazil	CM	2005–2007 2010–2013	267	73
Renato Gaúcho	Brazil	FW	1987–1990 1993 1997–1998	213	68
Francisco Reyes	Paraguay	CB	1967–1972	196	7
Riemer	Brazil	FW	1913–1918	68	55
Rogério	Brazil	CB	1988–1994 2000–2001	282	23
Romário	Brazil	FW	1995–1999	240	204
Ronaldinho	Brazil	AM/FW	2011–2012	74	28
Ronaldo Angelim	Brazil	CB	2006–2011	280	17
Rondinelli	Brazil	CB	1973–1981	406	12
Rubens	Brazil	AM/FW	1951–1956	173	84
Sávio	Brazil	FW	1993–1997 2006	261	95
Silva	Brazil	FW	1965–1966 1968–1969	132	70
Tita	Brazil	AM/FW	1977–1985	391	135
Armando "Espanhol" Ufarte	Spain	RW	1960–1964	106	15
Uidemar	Brazil	DM	1989–1993	163	8
Agustín Valido	Argentina	RW	1937–1942 1944	143	45
Vevé	Brazil	LW	1941–1948	213	92
Carlos Volante	Argentina	DM	1938–1943	164	4
Wilson Gottardo	Brazil	CB	1991–1993	131	8
Zagallo	Brazil	LW	1951–1958	217	30
Zé Carlos	Brazil	GK	1984–1991 1996–1997	352	1
Zico	Brazil	AM	1971–1983 1985–1989	731	508
Zinho	Brazil	LW/CM	1986–1992 2004–2005	466	65
Zizinho	Brazil	AM/FW	1939–1950	329	146
