Player	Nat	Pos	L Apps	L G	C Apps	Total Apps	Total G
Gabernet	ESP	MF	15	1	0	15	1
Galán	ESP	DF	32	2	0	32	2
Jerson	ESP	DF	34	1	0	34	1
Urrea	ESP	MF	16	0	0	16	0
Dani Marín	ESP	DF	30	1	0	30	1
Campabadal	ESP	MF	32	1	0	32	1
Parra	ESP	FW	37	4	0	37	4
Figuerola	ESP	MF	25	0	0	25	0
Mikel Álvaro	ESP	MF	36	13	0	36	13
Ermengol	ESP	FW	24	0	0	24	0
Miki	ESP	MF	36	1	0	36	1
Benet	ESP	MF	4	0	0	4	0
Moya	ESP	DF	31	5	0	31	5
David Giménez	ESP	MF	36	6	0	36	6
Casado	ESP	DF	27	1	0	27	1
Jaume	ESP	MF	35	0	0	35	0
Sellarés	ESP	FW	37	8	0	37	8
