Name	Years	Area	Authority	Decile	Roll
Fox Glacier School	1–8	Fox Glacier	State	8	25
Franz Josef Glacier School	1–8	Franz Josef	State	9	19
Haast School	1–8	Haast	State	3	18
Hokitika School	1–6	Hokitika	State	4	154
Jacobs River School	1–8	Jacobs River	State	5	6
Kaniere School	1–6	Kaniere	State	7	129
Kokatahi-Kowhitirangi School	1–6	Kokatahi	State	8	52
Kumara School	1–8	Kumara	State	5	23
Ross School	1–6	Ross	State	6	16
South Westland Area School	1–15	Harihari	State	4	100
St Mary's School	1–8	Hokitika	State	5	152
Westland High School	7–15	Hokitika	State	6	397
Whataroa School	1–8	Whataroa	State	7	36
