Storm name	Dates active	Max 1-min wind mph (km/h)	Min. press. ( mbar )	Damage (millions USD )	Deaths
Adrian	June7– June12	140 (220)	944	Minimal	0
Beatriz	June19– June22	90 (150)	977	Minimal	4
Calvin	July7–July10	80 (130)	984	None	0
Dora	July18–July24	155 (250)	929	Minimal	0
Eugene	July31–August6	140 (220)	942	None	0
Fernanda	August15–August 19	70 (115)	992	None	0
Greg	August16–August 21	85 (140)	979	None	0
Eight-E	August31	35 (55)	1002	None	0
Hilary	September21–September30	145 (230)	942	Minimal	0
Jova	October6–October 12	125 (205)	955	≥203.67	8
Irwin	October6–October 16	100 (155)	976	None	0
Twelve-E	October12	35 (55)	1004	None	30
Kenneth	November19– November25	145 (230)	940	None	0
Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates
13 cyclones	June 7– November 25	155 (250)	929	>203.67	42
