Rank	Athlete	Country	Distance (metres)	Points	Adjusted Points
1	Johan Meimer	Estonia	56.88	886.70	691
2	Ken Doherty	United States	56.56	877.90	686
3	Paavo Yrjölä	Finland	55.70	854.25	673
4	Akilles Järvinen	Finland	55.58	850.95	672
5	Gaston Étienne	Belgium	54.85	830.875	661
6	Hugo Barth	Germany	52.73	772.575	629
7	Tom Churchill	United States	50.93	723.075	602
8	Henry Lindblad	Sweden	49.61	686.775	583
9	Barney Berlinger	United States	48.27	649.925	563
10	James Stewart	United States	48.07	644.425	560
11	Ludwig Vesely	Austria	47.44	627.10	551
12	Wilhelm Ladewig	Germany	46.10	590.25	531
13	Tatsuo Toki	Japan	45.83	582.825	527
14	Albert Andersson	Sweden	45.81	582.275	527
15	Martti Tolamo	Finland	45.79	581.725	527
16	Sven Lundgren	Sweden	45.71	579.525	525
17	Erwin Huber	Germany	45.42	571.550	521
18	Stelios Benardis	Greece	44.48	545.70	507
19	Branko Kallay	Yugoslavia	43.98	531.95	500
20	Antoni Cejzik	Poland	43.96	531.40	500
21	Mátyás Farkas	Hungary	43.13	508.575	488
22	Helge Jansson	Sweden	41.73	470.075	467
23	Hermann Lemperle	Germany	41.05	451.375	457
24	Yonetaro Nakazawa	Japan	40.33	431.575	447
25	Gérard Noël	Belgium	32.64	220.10	337
26	René Joannes-Powell	Belgium	32.56	217.90	335
