Match Day	Date	Opponent	Venue	Score	Attendance	Report
1	29 July	Hibernian	A	1–1	15,046	AFC Heritage
2	5 August	Inverness Caledonian Thistle	H	1–1	11,955	AFC Heritage
3	12 August	Motherwell	A	2–0	5,186	AFC Heritage
4	19 August	St. Mirren	A	1–1	5,344	AFC Heritage
5	26 August	Dunfermline	H	1–0	9,889	AFC Heritage
6	9 September	Celtic	H	0–1	15,304	AFC Heritage
7	16 September	Falkirk	A	2–0	5,812	AFC Heritage
8	24 September	Heart of Midlothian	H	1–3	11,160	AFC Heritage
9	1 October	Rangers	A	0–1	50,488	AFC Heritage
10	14 October	Kilmarnock	A	0–1	5,700	AFC Heritage
11	21 October	Dundee United	H	3–1	10,747	AFC Heritage
12	30 October	Hibernian	H	2–1	11,179	AFC Heritage
13	6 November	Inverness Caledonian Thistle	A	1–1	5,744	AFC Heritage
14	11 November	Motherwell	H	2–1	10,527	AFC Heritage
15	18 November	St. Mirren	H	2–0	11,426	AFC Heritage
16	25 November	Dunfermline Athletic	A	3–0	6,501	AFC Heritage
17	2 December	Celtic	A	0–1	58,911	AFC Heritage
18	9 December	Falkirk	H	2–1	10,594	AFC Heritage
19	16 December	Heart of Midlothian	A	1–0	17,274	AFC Heritage
20	23 December	Rangers	H	1–2	20,045	AFC Heritage
21	26 December	Kilmarnock	H	3–1	11,887	AFC Heritage
22	30 December	Dundee United	A	1–3	12,329	AFC Heritage
23	2 January	Hibernian	A	0–0	16,278	AFC Heritage
24	13 January	Inverness Caledonian Thistle	H	1–1	10,300	AFC Heritage
25	27 January	St. Mirren	A	2–0	4,926	AFC Heritage
26	10 February	Dunfermline	H	3–0	9,379	AFC Heritage
27	17 February	Celtic	H	1–2	16,711	AFC Heritage
28	3 March	Falkirk	A	2–0	5,825	AFC Heritage
29	10 March	Heart of Midlothian	H	1–0	13,964	AFC Heritage
30	13 March	Motherwell	A	2–0	4,530	AFC Heritage
31	17 March	Rangers	A	0–3	50,354	AFC Heritage
32	31 March	Kilmarnock	A	2–1	7,236	AFC Heritage
33	7 April	Dundee United	H	2–4	12,148	AFC Heritage
34	21 April	Hibernian	H	2–2	9,753	AFC Heritage
35	28 April	Kilmarnock	H	3–0	10,046	AFC Heritage
36	6 May	Heart of Midlothian	A	1–1	17,208	AFC Heritage
37	12 May	Celtic	A	1–2	59,510	AFC Heritage
38	20 May	Rangers	H	2–0	20,010	AFC Heritage
