Place	Player	Country	Score	To par	Money ( £ )
1	Tom Watson	United States	69-71-74-70=284	–4	32,000
T2	Peter Oosterhuis	England	74-67-74-70=285	–3	19,300
T2	Nick Price	Zimbabwe	69-69-74-73=285	–3	19,300
T4	Nick Faldo	England	73-73-71-69=286	–2	11,000
T4	Masahiro Kuramoto	Japan	71-73-71-71=286	–2	11,000
T4	Tom Purtzer	United States	76-66-75-69=286	–2	11,000
T4	Des Smyth	Ireland	70-69-74-73=286	–2	11,000
T8	Sandy Lyle	Scotland	74-66-73-74=287	–1	8,750
T8	Fuzzy Zoeller	United States	73-71-73-70=287	–1	8,750
T10	Bobby Clampett	United States	67-66-78-77=288	E	7,350
T10	Jack Nicklaus	United States	77-70-72-69=288	E	7,350
