Season	Champion	Motorcycle	Wins	Team
1976	Reg Pridmore	BMW	2	Butler & Smith – BMW NA
1977	Reg Pridmore	Kawasaki	1	Racecrafters
1978	Reg Pridmore	Kawasaki	0	Vetter
1979	Wes Cooley	Suzuki	0	Yoshimura
1980	Wes Cooley	Suzuki	3	Yoshimura
1981	Eddie Lawson	Kawasaki	4	Team Muzzy
1982	Eddie Lawson	Kawasaki	5	Team Muzzy
1983	Wayne Rainey	Kawasaki	6	Team Muzzy
1984	Fred Merkel	Honda	10	American Honda
1985	Fred Merkel	Honda	6	American Honda
1986	Fred Merkel	Honda	2	American Honda
1987	Wayne Rainey	Honda	3	American Honda
1988	Bubba Shobert	Honda	3	Shobert
1989	Jamie James	Suzuki	1	Yoshimura
1990	Doug Chandler	Kawasaki	4	Team Muzzy
1991	Thomas Stevens	Yamaha	1	Vance & Hines
1992	Scott Russell	Kawasaki	3	Team Muzzy
1993	Doug Polen	Ducati	6	Fast by Ferracci
1994	Troy Corser	Ducati	3	Fast by Ferracci
1995	Miguel Duhamel	Honda	6	Commonwealth Racing
1996	Doug Chandler	Kawasaki	2	Team Muzzy
1997	Doug Chandler	Kawasaki	1	Team Muzzy
1998	Ben Bostrom	Honda	0	American Honda
1999	Mat Mladin	Suzuki	1	Yoshimura
2000	Mat Mladin	Suzuki	4	Yoshimura
2001	Mat Mladin	Suzuki	4	Yoshimura
2002	Nicky Hayden	Honda	9	American Honda
2003	Mat Mladin	Suzuki	10	Yoshimura
2004	Mat Mladin	Suzuki	8	Yoshimura
2005	Mat Mladin	Suzuki	11	Yoshimura
2006	Ben Spies	Suzuki	10	Yoshimura
2007	Ben Spies	Suzuki	7	Yoshimura
2008	Ben Spies	Suzuki	7	Yoshimura
2009	Mat Mladin	Suzuki	10	Yoshimura
2010	Josh Hayes	Yamaha	7	Graves Motorsports
2011	Josh Hayes	Yamaha	3	Graves Motorsports
2012	Josh Hayes	Yamaha	16	Graves Motorsports
2013	Josh Herrin	Yamaha	4	Graves Motorsports
