Year	Location	Gold	Silver	Bronze
1996	Herne Hill	Brian Steel Paul Wingrave	Russell Williams Colin Denman	Keith Reid Derek Marloe
1997	Herne Hill	Brian Steel Paul Wingrave	Russell Williams Colin Denman	Keith Reid Derek Marloe
1998	Herne Hill	Brian Steel Paul Wingrave	Russell Williams Colin Denman	Clive Burr Derek Marloe
1999	Herne Hill	Simon Cope Derek Marloe	Russell Williams Colin Denman	Rob Jefferies Unknown
2000	Reading	Simon Cope Derek Marloe	James Taylor Colin Denman	Dave Edwards Roger Hughes
2001	Reading	Ray Hughes Paul Wingrave	Unknown Unknown	James Taylor Unknown
2002	Herne Hill	Russell Williams Colin Denman	Martin Freeman Colin Garnham	Ray Hughes Paul Wingrave
2003	Reading	Bryan Taylor Colin Denman	Martin Freeman Colin Garnham	Andrew Russell Derek Marloe
2004	Herne Hill	Tom White Steve White	Simon Gaywood Colin Garnham	Tony Gibb Graham Bristow
2005	Herne Hill	Bryan Taylor Colin Denman	James Holland-Leader Colin Garnham	Simon Gaywood Derek Marloe
2006	Reading	Bryan Taylor Colin Denman	James Holland-Leader Colin Garnham	Simon Gaywood Derek Marloe
2007	Maindy	Tony Gibb Graham Bristow	James McCallum Derek Marloe	Matthew Rowe Courtney Rowe
2008	Maindy	Luke Rowe Courtney Rowe	Tony Gibb Graham Bristow	Andrew Magnier Chris Pyatt
2009	Newport	Jon Mould Courtney Rowe	Jamie Rogers Steve Parsons	Tony Gibb Tim Read
2010	Scunthorpe	Matt Rowe Courtney Rowe	Matt Gittings George Gilbert	Adam Duggleby Dave Urquhart
2011	Herne Hill	Jack Kirk Peter Bäuerlein	Adam Duggleby Alex Wharton	James Holland-Leader Graham Bristow
2012	Herne Hill	Matt Gittings George Gilbert	Adam Duggleby Alex Wharton	Symon Lewis Michael Lewis
