Outcome	Date	Tournament	Surface	Opponent in the final	Score in the final
Winner	17 September 1989	Geneva , Switzerland	Clay	Guillermo Pérez Roldán	6–4, 7–5
Runner-up	6 April 1990	Madrid, Spain	Clay	Andres Gomez	6–3, 7–6
Runner-up	27 May 1990	Bologna, Italy	Clay	Richard Fromberg	4–6, 6–4, 7–6
Winner	22 October 1990	Lyon , France	Carpet (i)	Mats Wilander	6–3, 6–2
Winner	3 August 1992	Summer Olympics , Barcelona, Spain	Clay	Jordi Arrese	7–6 (7–2) , 6–4, 3–6, 4–6, 8–6
Winner	16 November 1992	Moscow , Russia	Carpet (i)	Carl Uwe Steeb	6–3, 6–2
Winner	8 February 1993	Marseille , France	Carpet (i)	Jan Siemerink	6–2, 7–6 (7–1)
Winner	30 August 1993	Long Island , USA	Hard	Michael Chang	6–4, 3–6, 6–1
Winner	15 November 1993	Moscow, Russia	Carpet (i)	Patrik Kühnen	6–4, 6–3
Winner	7 February 1994	Marseille, France	Carpet (i)	Arnaud Boetsch	7–6 (8–6) , 7–6 (7–4)
Runner-up	20 August 1994	New Haven , United States	Hard	Boris Becker	6–3, 7–5
Winner	24 October 1994	Lyon, France	Carpet (i)	Jim Courier	6–4, 7–6 (7–2)
Runner-up	6 November 1994	Paris , France	Carpet (i)	Andre Agassi	3–6, 3–6, 6–4, 5–7
Winner	24 April 1995	Nice , France	Clay	Yevgeny Kafelnikov	6–4, 6–0
Winner	26 June 1995	Halle , Germany	Grass	Michael Stich	3–6, 7–6 (13–11) , 7–6 (10–8)
Runner-up	3 March 1996	Milan , Italy	Carpet (i)	Goran Ivanišević	3–6, 6–7 (7–3)
Winner	24 February 1997	Antwerp , Belgium	Hard (i)	Tim Henman	6–2, 7–5, 6–4
Runner-up	14 September 1997	Tashkent, Uzbekistan	Hard	Tim Henman	7–6 (7–2) , 6–4
Runner-up	15 February 1998	St. Petersburg , Russia	Carpet (i)	Richard Krajicek	4–6, 6–7 (5–7)
Runner-up	22 February 1997	Antwerp , Belgium	Hard	Greg Rusedski	6–7 (3–7) , 6–3, 1–6, 4–6,
Winner	15 February 1999	St. Petersburg , Russia	Carpet (i)	David Prinosil	6–3, 6–4
Winner	14 February 2000	Marseille, France	Hard (i)	Roger Federer	2–6, 6–3, 7–6 (7–5)
Winner	22 October 2000	London, UK	Hard (i)	Yevgeny Kafelnikov	6–4, 6–4
