Round	Date	Matches	Clubs	New entries this round	Prize money
Preliminary Round	21 August 1999	166	558 → 392	161: 227th–387th	£1,000
First Round Qualifying	4 September 1999	116	392 → 276	66: 161st–226th	£2,250
Second Round Qualifying	18 September 1999	80	276 → 196	44: 117th–160th	£3,750
Third Round Qualifying	2 October 1999	40	196 → 156	none	£5,000
Fourth Round Qualifying	16 October 1999	32	156 → 124	24: 93rd–116th	£10,000
First Round Proper	30 October 1999	40	124 → 84	48: 45th–92nd	£16,000
Second Round Proper	19 October 1999	20	84 → 64	none	£24,000
Third Round Proper	10 December 1999	32	64 → 32	43: 2nd–44th	£40,000
Fourth Round Proper	8 January 2000	16	32 → 16	none	£60,000
Fifth Round Proper	29 January 2000	8	16 → 8	none	£120,000
Sixth Round Proper	19 February 2000	4	8 → 4	none	£300,000
Semi Finals	2 April 2000	2	4 → 2	none	£900,000
Final	20 May 2000	1	2 → 1	none	£1,000,000
