Year	Title	Role	Leading Lady	Director
1940	Johnny Apollo	Bob Cain (Johnny Apollo)	Dorothy Lamour	Henry Hathaway
1940	Brigham Young	Jonathan Kent	Linda Darnell	Henry Hathaway
1940	The Mark of Zorro	Don Diego Vega / Zorro	Linda Darnell	Rouben Mamoulian
1941	Blood and Sand	Juan Gallardo	Linda Darnell	Rouben Mamoulian
1941	Blood and Sand	Juan Gallardo	Rita Hayworth	Rouben Mamoulian
1941	A Yank in the R.A.F.	Tim Baker	Betty Grable	Henry King
1942	Son of Fury: The Story of Benjamin Blake	Benjamin Blake	Gene Tierney	John Cromwell
1942	Son of Fury: The Story of Benjamin Blake	Benjamin Blake	Frances Farmer	John Cromwell
1942	This Above All	Clive Briggs	Joan Fontaine	Anatole Litvak
1942	The Black Swan	Jamie Waring	Maureen O'Hara	Henry King
1943	Crash Dive	Lt. Ward Stewart	Anne Baxter	Archie Mayo
1946	The Razor's Edge	Larry Darrell	Gene Tierney	Edmund Goulding
1947	Nightmare Alley	Stanton Carlisle	Joan Blondell	Edmund Goulding
1947	Captain from Castile	Pedro De Vargas	Jean Peters	Henry King
1948	The Luck of the Irish	Stephen Fitzgerald	Anne Baxter	Henry Koster
1948	That Wonderful Urge	Thomas Jefferson Tyler	Gene Tierney	Robert B. Sinclair
1949	Prince of Foxes	Andrea Orsini	Wanda Hendrix	Henry King
