Province	Inhabitants	established	President	Party	Election
Arezzo	348,327	1826	Roberto Vasai	Democratic Party	2009
Florence	991,862	1848	Andrea Barducci	Democratic Party	2009
Grosseto	227,063	1766	Leonardo Marras	Democratic Party	2009
Livorno	341,453	1861	Giorgio Kutufà	Democratic Party	2009
Lucca	392,182	1849	Stefano Baccelli	Democratic Party	2011
Massa	203,642	1859	Osvaldo Angeli	Democratic Party	2008
Pisa	414,154	1849	Andrea Pieroni	Democratic Party	2009
Pistoia	292,108	1927	Federica Fratoni	Democratic Party	2009
Prato	248,174	1992	Lambarto Nazzareno Gestri	Democratic Party	2009
Siena	270,333	1849	Simone Bezzini	Democratic Party	2009
