Res.	Record	Opponent	Method	Round	Time	Location
Loss	7-5	Alexander Karelin	Decision (unanimous)	3	5:00	Japan
Win	7-4	Magomedkhan Gamzatkhanov	Submission	1	4:24	Japan
Loss	6-4	Kiyoshi Tamura	n/a	n/a	n/a	Japan
Win	6-3	Mitsuya Nagai	n/a	n/a	n/a	Japan
Win	5-3	Nikolai Zouev	Submission (rear-naked choke)	1	5:17	Japan
Win	4-3	Andrei Kopylov	Submission (rear-naked choke)	1	8:32	Japan
Loss	3-3	Magomedkhan Gamzatkhanov	Submission (leg lock)	1	8:47	Japan
Win	3-2	Maurice Smith	n/a	n/a	n/a	Tokyo , Japan
Win	2-2	Yoshihisa Yamamoto	Submission	n/a	n/a	Tokyo , Japan
Win	1-2	Dick Vrij	n/a	n/a	n/a	Japan
Loss	0-2	Chris Dolman	Submission (armbar)	2	4:07	Amsterdam , Holland
Loss	0-1	Magomedkhan Gamzatkhanov	Submission	n/a	n/a	Tokyo , Japan
