Game	Date	Opponent	Score	Record
11	11/2/1979	at Hartford Whalers	3 - 5	4-6-1
12	11/3/1979	Buffalo Sabres	3 – 4	4-7-1
13	11/7/1979	at St. Louis Blues	7 - 4	5-7-1
14	11/10/1979	at Winnipeg Jets	8 - 4	6-7-1
15	11/11/1979	at Edmonton Oilers	6 - 3	7-7-1
16	11/14/1979	St. Louis Blues	7 - 2	8-7-1
17	11/17/1979	Boston Bruins	0 - 2	8-8-1
18	11/18/1979	at Quebec Nordiques	2 - 4	8-9-1
19	11/21/1979	Edmonton Oilers	4 - 4	8-9-2
20	11/24/1979	Chicago Blackhawks	1 - 2	8-10-2
21	11/25/1979	at New York Rangers	4 - 3	9-10-2
22	11/27/1979	at Atlanta Flames	5 - 3	10-10-2
23	11/28/1979	at Washington Capitals	4 - 2	11-10-2
