Year	Category	Champion	Runner-up	Score
1991	V	Sandra Cecchini	Magdalena Maleeva	6-4, 3-6, 7-5
1995	III	Sabine Appelmans	Silke Meier	6-4, 6-3
1996	IV	Gloria Pizzichini	Silvija Talaja	6-0, 6-2
1997	IV	Mirjana Lučić	Corina Morariu	7-5, 6-7, 7-6
1998	IVa	Mirjana Lučić	Corina Morariu	6-2, 6-4
1999	IV	Corina Morariu	Julie Halard	6-2, 6-0
2000	III	Tina Pisnik	Amélie Mauresmo	7-6, 7-6
2001	III	Ángeles Montolio	Mariana Díaz-Oliva	3-6, 6-2, 6-4
2002	III	Åsa Svensson	Iva Majoli	6-3, 4-6, 6-1
2003	III	Vera Zvonareva	Conchita Martínez G.	6-1, 6-3
