Missouri vs.	Overall Record	at Columbia	at Opponent's Venue	at Neutral Site	Last 5 Meetings	Last 10 Meetings	Current Streak	Since Joining SEC
Alabama	UA, 4-2	Tied, 1-1	UA, 1-0	UA, 2-1	UA, 3-2	UA, 4-2	W 2	MU, 1-0
Arkansas	UA, 20-19	MU, 11-8	UA, 11-8	UA, 1-0	UA, 3-2	UA, 8-2	W 1	Tied, 1-1
Auburn	MU, 1-0	MU, 1-0	Tied, 0-0	Tied, 0-0	MU, 1-0	MU, 1-0	W 1	MU, 1-0
Florida	Tied, 1-1	MU, 1-0	UF, 1-0	Tied, 0-0	Tied, 1-1	Tied, 1-1	W 1	Tied, 1-1
Georgia	MU, 4-0	MU, 2-0	MU, 1-0	MU, 1-0	MU, 4-0	MU, 4-0	W 4	MU, 1-0
Kentucky	UK, 5-0	Tied, 0-0	UK, 3-0	UK, 2-0	UK, 5-0	UK, 5-0	L 5	UK, 1-0
Louisiana State	LSU, 2-1	MU, 1-0	LSU, 1-0	LSU, 1-0	LSU, 2-1	LSU, 2-1	W 1	Tied, 1-1
Mississippi	UM, 2-1	MU, 1-0	UM, 1-0	UM, 1-0	UM, 2-1	UM, 2-1	L 1	UM, 2-1
Mississippi State	MU, 3-1	MU, 2-0	Tied, 1-1	Tied, 0-0	MU, 3-1	MU, 3-1	W 1	MU, 1-0
South Carolina	MU, 2-0	MU, 1-0	MU, 1-0	Tied, 0-0	MU, 2-0	MU, 2-0	W 2	MU, 2-0
Tennessee	MU, 4-3	MU, 2-0	Tied, 2-2	UT, 1-0	UT, 3-2	MU, 4-3	L 1	UT, 1-0
Texas A&M	MU, 14-11	MU, 6-3	TAMU, 7-4	MU, 4-1	MU, 3-2	TAMU, 7-3	W 1	Tied, 1-1
Vanderbilt	Tied, 3-3	MU, 3-0	VU, 2-0	VU, 1-0	VU, 3-2	Tied, 3-3	W 2	MU, 1-0
*As of March 16, 2013	*As of March 16, 2013	*As of March 16, 2013	*As of March 16, 2013	*As of March 16, 2013	*As of March 16, 2013	*As of March 16, 2013	*As of March 16, 2013	*As of March 16, 2013
