Constituency	Electorate	s Spoilt vote	Total poll (%)	For (%)	Against (%)
Østfold	152837	392	121,498 (80)	58,931 (49)	62,567 (51)
Akershus	217851	542	180,503 (83)	102,521 (57)	77,982 (43)
Oslo	356153	619	291,654 (82)	193,980 (67)	97,674 (33)
Hedmark	124960	519	99,508 (80)	44,150 (44)	55,358 (56)
Oppland	120082	314	94,114 (79)	37,550 (40)	56,564 (60)
Buskerud	139999	400	110,387 (79)	59,532 (54)	50,855 (46)
Vestfold	155338	247	94,355 (79)	53,515 (57)	40,840 (43)
Telemark	108485	211	84,056 (78)	32,284 (38)	51,772 (62)
Aust-Agder	55276	138	40,909 (74)	18,659 (46)	22,250 (54)
Vest-Agder	81707	177	64,100 (79)	27,510 (43)	36,590 (57)
Rogaland	174925	309	138,601 (79)	62,096 (45)	76,505 (55)
Hordaland	248675	511	198,095 (80)	96,996 (49)	101,099 (51)
Sogn og Fjordane	67335	153	51,705 (77)	15,923 (31)	35,782 (69)
Møre og Romsdal	146917	240	114,709 (78)	33,504 (29)	81,205 (71)
Sør-Trøndelag	159730	248	122,092 (77)	51,827 (42)	70,265 (58)
Nord-Trøndelag	77954	107	60,495 (78)	19,101 (32)	41,394 (68)
Nordland	157183	549	120,979 (77)	33,228 (27)	87,751 (73)
Troms	88174	385	66,499 (76)	19,820 (30)	46,679 (70)
