School Year	Class A	Class AA	Class AAA	Class AAAA
1985-86	Bronte	Liberty Hill	Slaton	Austin Westlake
1986-87	Lindsay	Liberty Hill	Slaton	Cedar Hill
1987-88	Happy	Clifton	Lampasas	Cedar Hill
1988-89	Plains	Abernathy	Lampasas	McKinney
1989-90	Valley Mills	Van Alstyne	Bishop	Highland Park
1990-91	Valley Mills	Canadian	Abilene Wylie	(tie) Carthage/Kerrville Tivy
1991-92	Valley Mills	Canadian	Troy	Highland Park
1992-93	Vega	Canadian	Dripping Springs	Kingsville
1993-94	Lindsay	Stinnett West Texas	Bridgeport	Corpus Christi Flour Bluff
1994-95	Lindsay	Stinnett West Texas	Bridgeport	Mesquite Poteet
1995-96	Rule	Franklin	Kirbyville	Austin Johnson
1996-97	Moulton	Stinnett West Texas	Wimberley	(tie) Highland Park/Waco Midway/Willis
1997-98	Moulton	Stinnett West Texas	Kirbyville	Highland Park
1998-99	San Antonio Lackland	Jourdanton	Alvarado	(tie) Gregory-Portland/Sulphur Springs
1999-2000	Water Valley	Stinnett West Texas	Orangefield	Gregory-Portland
2000-01	Hedley	Stinnett West Texas	Seminole	Kingsville
2001-02	(unavailable)	(unavailable)	(unavailable)	(unavailable)
2002-03	(unavailable)	(Comfort)	(unavailable)	(unavailable)
2003-04	Avery	Argyle	Wimberley	Friendswood
2004-05	Academy	Floydada	Wimberley	Friendswood
2005-06	Avery	Harmony Science Academy	Cuero	Friendswood
2006-07	Houston Harmony Science Academy	Floydada	Cuero	North Richland Hills Birdville
2007-08	Moulton	New Boston	Wimberley	North Richland Hills Birdville
2008-09	Lindsay	White Oak	Wimberley	Frindswood
2009-10	Canadian	Irving North Hills	New Boston	Dallas Highland Park
2010-11	Canadian	White Oak	La Feria	Pearland Dawson
