Official #	TF1 #	French title	English title	Air date (France)	Original Beechwood Bunny Tale / Source material
27	27	"La fée Pirouette"	"Fairy Violet"	4 April 2007	Teleplay by Valérie Baranski
28	28	"Le lapin magique"	"Magic Rabbit"	18 April 2007	Teleplay by Valérie Baranski
29	29	"Un phare dans la forêt"	"Lighthouse in the Forest"	25 April 2007	Teleplay by Valérie Baranski
30	30	"La pêche au trésor"	"Treasure Hunt"	2 May 2007	Teleplay by Valérie Baranski
31	31	"Poussières d'étoiles"	"Stardust"	9 May 2007	Teleplay by Valérie Baranski
32	32	"Vacances de rêve"	"Dream Vacation"	23 May 2007	Teleplay by Valérie Baranski
33	33	"Les Passiflore et le Barapoul"	"The Bellflowers and the Henbar"	30 May 2007	Teleplay by Valérie Baranski
34	34	"Les Passiflore à la mer"	"Bellflowers by the Sea"	6 June 2007	Les Passiflore à la mer
35	35	"Parfum d'amour"	"Perfume of Love"	13 June 2007	Teleplay by Valérie Baranski
36	36	"Pirouette et la cigogne"	"Violette and the Stork"	20 June 2007	Teleplay by Valérie Baranski
37	38	"L'expédition glaciale"	"The Ice Expedition"	4 July 2007	Teleplay by Valérie Baranski
38	37	"Le violon du marais"	"The Violin in the Marsh"	27 June 2007	Teleplay by Valérie Baranski
39	39	"La reine des corsaires"	"Pirate Queen"	6 July 2008	Teleplay by Valérie Baranski
40	40	"Tempête aux Airelles"	"Storm over Blueberry Hill"	13 July 2008	Teleplay by Valérie Baranski
41	41	"Arsène et compagnie"	"Archie and Co"	20 July 2008	Teleplay by Valérie Baranski
42	42	"Les petits bricolos"	"Inventor Bunnies"	27 July 2008	Teleplay by Valérie Baranski
43	43	"Les Toudoux"	"The Softies"	17 August 2008	Teleplay by Valérie Baranski
44	44	"Les Passiflore unis"	"The Bellflowers United"	20 August 2008	Teleplay by Valérie Baranski
45	45	"Chez Zinia"	"At Zinnia's Place"	24 August 2008	Teleplay by Valérie Baranski
46	46	"Le Lapinosaurus"	"The Bunnyosaurus"	22 December 2008	Teleplay by Valérie Baranski
47	47	"L'élu des Airelles"	"The Chosen One"	23 December 2008	Teleplay by Valérie Baranski
48	48	"Roméo et Pirouette"	"Romeo and Violet"	30 December 2008	Teleplay by Valérie Baranski
49	49	"Sacré manège"	"Merry Go Round"	1 January 2009	Teleplay by Valérie Baranski
50	50	"Mon pantin à moi"	"My Rag Doll"	2 January 2009	Teleplay by Valérie Baranski
51	51	"Pierre de lune"	"Moonstone"	12 July 2010	Teleplay by Valérie Baranski
52	52	"Fabiola la douce"	"Sweet Fabiola"	13 July 2010	Teleplay by Valérie Baranski
