Place	Player	Country	Score	To par	Earnings ( $ )
1	Doug Ford	United States	72-73-72-66=283	–5	8,750
2	Sam Snead	United States	72-68-74-72=286	–2	4,375
3	Jimmy Demaret	United States	72-70-75-70=287	–1	2,625
4	Harvie Ward (a)	United States	73-71-71-73=288	E	0
5	Peter Thomson	Australia	72-73-73-71=289	+1	1,750
6	Ed Furgol	United States	73-71-72-74=290	+2	1,312
T7	Jack Burke, Jr.	United States	71-72-74-74=291	+3	1,137
T7	Dow Finsterwald	United States	74-74-73-70=291	+3	1,137
T7	Arnold Palmer	United States	73-73-69-76=291	+3	1,137
10	Jay Hebert	United States	74-72-76-70=292	+4	1,005
