Round	Pick #	Overall	Name	Position	College
1	2	2	George Kunz	Offensive Tackle	Notre Dame
2	3	29	Paul Gipson	Running Back	Houston
3	2	54	Malcolm Snider	Offensive Tackle	Stanford
3	15	67	Jon Sandstrom	Guard	Oregon State
4	3	81	James Mitchell	Tight End	Prairie View A&M
4	25	103	Dicky Lyons	Defensive Back	Kentucky
5	23	127	Tony Pleviak	Defensive End	Illinois
6	7	137	Wally Oyler	Defensive Back	Louisville
7	2	158	Dick Enderle	Guard	Minnesota
7	8	164	Ted Cottrell	Linebacker	Delaware Valley
8	3	185	Jim Callahan	Wide Receiver	Temple
10	3	237	Jeff Stanciel	Running Back	Mississippi Valley State
11	2	262	Jeff Van Note	Center	Kentucky
12	3	289	Denver Samples	Defensive Tackle	UTEP
13	2	313	Harry Carpenter	Offensive Tackle	Tennessee State
14	3	341	Billy Hunt	Defensive Back	Kansas
15	2	366	Jim Weatherford	Defensive Back	Tennessee
16	3	393	Ed Hughes	Running Back	Texas Southern
17	2	418	Paul Williams	Running Back	California
