Week	Date	Opponent	Result	Attendance
1	September 7, 1986	at Kansas City Chiefs	L 24–14	43,430
2	September 14, 1986	Buffalo Bills	W 36–33	52,714
3	September 18, 1986	at Cleveland Browns	W 30–13	78,779
4	September 28, 1986	Chicago Bears	L 44–7	55,146
5	October 5, 1986	at Green Bay Packers	W 34–28	51,230
6	October 13, 1986	Pittsburgh Steelers	W 24–22	54,283
7	October 19, 1986	Houston Oilers	W 31–28	53,844
8	October 26, 1986	at Pittsburgh Steelers	L 30–9	50,815
9	November 2, 1986	at Detroit Lions	W 24–17	52,423
10	November 9, 1986	at Houston Oilers	L 32–28	32,130
11	November 16, 1986	Seattle Seahawks	W 34–7	54,410
12	November 23, 1986	Minnesota Vikings	W 24–20	53,003
13	November 30, 1986	at Denver Broncos	L 34–28	58,705
14	December 7, 1986	at New England Patriots	W 31–7	60,633
15	December 14, 1986	Cleveland Browns	L 34–3	58,062
16	December 21, 1986	New York Jets	W 52–21	51,619
