Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Benetton - Renault	65	1:34:20.507	1
Johnny Herbert	Benetton - Renault	65	+51.988	7
Gerhard Berger	Ferrari	65	+1:05.237	3
Damon Hill	Williams - Renault	65	+2:01.749	5
Eddie Irvine	Jordan - Peugeot	64	+1 Lap	6
Olivier Panis	Ligier - Mugen-Honda	64	+1 Lap	15
Rubens Barrichello	Jordan - Peugeot	64	+1 Lap	8
Heinz-Harald Frentzen	Sauber - Ford	64	+1 Lap	12
Martin Brundle	Ligier - Mugen-Honda	64	+1 Lap	11
Mika Salo	Tyrrell - Yamaha	64	+1 Lap	13
Gianni Morbidelli	Footwork - Hart	63	+2 Laps	14
Jos Verstappen	Simtek - Ford	63	+2 Laps	16
Karl Wendlinger	Sauber - Ford	63	+2 Laps	20
Pierluigi Martini	Minardi - Ford	62	+3 Laps	19
Domenico Schiattarella	Simtek - Ford	61	+4 Laps	22
Ukyo Katayama	Tyrrell - Yamaha	56	Engine	17
David Coulthard	Williams - Renault	54	Gearbox	4
Mika Häkkinen	McLaren - Mercedes	53	Fuel system	9
Taki Inoue	Footwork - Hart	43	Transmission	18
Bertrand Gachot	Pacific - Ford	43	Fire	24
Roberto Moreno	Forti - Ford	39	Overheating	25
Jean Alesi	Ferrari	25	Engine	2
Luca Badoer	Minardi - Ford	21	Gearbox	21
Nigel Mansell	McLaren - Mercedes	18	Handling	10
Pedro Diniz	Forti - Ford	17	Gearbox	26
Andrea Montermini	Pacific - Ford	0	Non Starter	23
