Year (Ceremony)	English title	Portuguese title	Director	Result
1980: (53rd)	Morning Undersea	Manhã Submersa	Lauro António Category:Articles with hCards	Not Nominated
1982: (55th)	Francisca	Francisca	Manoel de Oliveira Category:Articles with hCards	Not Nominated
1983: (56th)	No Trace of Sin	Sem Sombra de Pecado	José Fonseca e Costa Category:Articles with hCards	Not Nominated
1988: (61st)	Hard Times	Tempos Difíceis	João Botelho Category:Articles with hCards	Not Nominated
1989: (62nd)	The Cannibals	Os Canibais	Manoel de Oliveira Category:Articles with hCards	Not Nominated
1990: (63rd)	The King's Trial	O Processo do Rei	João Mário Grilo Category:Articles with hCards	Not Nominated
1991: (64th)	O Sangue	O Sangue	Pedro Costa Category:Articles with hCards	Not Nominated
1992: (65th)	Day of Despair	O Dia do Desespero	Manoel de Oliveira Category:Articles with hCards	Not Nominated
1993: (66th)	Abraham's Valley	Vale Abraão	Manoel de Oliveira Category:Articles with hCards	Not Nominated
1994: (67th)	Three Palm Trees	Três Palmeiras	João Botelho Category:Articles with hCards	Not Nominated
1995: (68th)	God's Comedy	A Divina Comédia	Manoel de Oliveira Category:Articles with hCards	Not Nominated
1997: (70th)	Journey To The Beginning Of The World	Viagem ao Princípio do Mundo	Manoel de Oliveira Category:Articles with hCards	Not Nominated
1998: (71st)	Anxiety	Inquietude	Manoel de Oliveira Category:Articles with hCards	Not Nominated
1999: (72nd)	The Mutants	Os Mutantes	Teresa Villaverde Category:Articles with hCards	Not Nominated
2000: (73rd)	Too Late	Tarde Demais	José Nascimento Category:Articles with hCards	Not Nominated
2001: (74th)	Camarate	Camarate	Luís Filipe Rocha Category:Articles with hCards	Not Nominated
2003: (76th)	A Talking Picture	Um Filme Falado	Manoel de Oliveira Category:Articles with hCards	Not Nominated
2004: (77th)	The Miracle According to Salomé	O Milagre segundo Salomé	Mário Barroso Category:Articles with hCards	Not Nominated
2005: (78th)	Noite Escura	Noite Escura	João Canijo Category:Articles with hCards	Not Nominated
2006: (79th)	Alice	Alice	Marco Martins Category:Articles with hCards	Not Nominated
2007: (80th)	Belle Toujours	Belle Toujours	Manoel de Oliveira Category:Articles with hCards	Not Nominated
2008: (81st)	Our Beloved Month of August	Aquele Querido Mês de Agosto	Miguel Gomes Category:Articles with hCards	Not Nominated
2009: (82nd)	Doomed Love	Um Amor de Perdição	Mário Barroso Category:Articles with hCards	Not Nominated
2010: (83rd)	To Die Like a Man	Morrer Como Um Homem	João Pedro Rodrigues Category:Articles with hCards	Not Nominated
2012: (85th)	Blood of My Blood	Sangue do Meu Sangue	João Canijo Category:Articles with hCards	Not Nominated
