Area in m²	Completion	City	Country	Denomination
20,139 (interior 15,160 )	1506–1626	Vatican City	Vatican City	Roman Catholic
12,000	1955	Aparecida	Brazil	Roman Catholic
11,520	1520	Seville	Spain	Roman Catholic
11,200	unfinished	New York	United States	Episcopal (Anglican)
10,186	1386–1965	Milan	Italy	Roman Catholic
10,090	1994–2004	Licheń Stary	Poland	Roman Catholic
9,687	1910-1978	Liverpool	United Kingdom	Church of England (Anglican)
8,700	2007	Fátima	Portugal	Roman Catholic
8,318	1681–1872	Zaragoza	Spain	Roman Catholic
8,162	2003	Belgrade	Serbia	Orthodox
8,000	1905-1970	Koekelberg ( Brussels )	Belgium	Roman Catholic
8,000	1974–1976	Mexico City	Mexico	Roman Catholic
8,000	1352–1521	Antwerp	Belgium	Roman Catholic
7,989	1989	Yamoussoukro	Ivory Coast	Roman Catholic
7,920	1390–1658	Bologna	Italy	Roman Catholic
7,914	1248–1880	Cologne	Germany	Roman Catholic
7,875	1677–1708	London	United Kingdom	Church of England (Anglican)
7,712	1907–1990	Washington, DC	United States	Episcopal (Anglican)
7,700	predates 1218	Amiens	France	Roman Catholic
7,400	537	Istanbul	Turkey	Orthodox
7,097 (enterior) 12,069 (exterior)	1919–1961	Washington D.C.	United States	Roman Catholic
4,320	1375	Taal,Batangas	Philippines	Catholic Basilica
4,273	1375	Ely, Cambridgeshire	United Kingdom	Church of England (Anglican)
3,170	1882	Sofia	Bulgaria	Orthodox
2,800	1914–1926	Medak	India	Church of South India
2,135	1855	St. John's	Canada	Roman Catholic
1,760	1907-1910	Halifax Regional Municipality	Canada	Anglican Church of Canada
