Total No.	Celebrity	Director	Original air date	Viewers
1	Shaun Majumder	Scott Harper	11October2007	N/A
2	Margot Kidder	Margaret Slaght	18October2007	N/A
3	Steven Page	David Langer	25October2007	N/A
4	Sonja Smits	Karen Pinker	1November2007	N/A
5	Chantal Kreviazuk	Nadine Schwartz	8November2007	N/A
6	Major-General Lewis Mackenzie	Richard Martyn	15November2007	N/A
7	Mary Walsh	Matt Gallagher	22November2007	N/A
8	Randy Bachman	Margaret Slaght	29November2007	N/A
9	Scott Thompson	Scott Harper	6December2007	N/A
10	Don Cherry	Richard Martyn	10January2008	N/A
11	Measha Brueggergosman	Karen Pinker	17January2008	N/A
12	Margaret Trudeau	Peter Findlay	24January2008	N/A
