Venue	City	Tickets Sold / Available	Gross Revenue (1986)	Gross Revenue (2011)
Råsunda Stadion	Stockholm	37,500 / 37,500 (100%)	$854,242	$1,724,333
Groenoordhallen	Leiden	38,400 / 38,400 (100%)	$672,021	$1,356,510
Hippodrome de Vincennes	Paris	40,000 / 40,000 (100%)	$1,019,064	$2,057,034
Forest National	Brussels	9,200 / 9,200 (100%)	$181,772	$366,916
Maimarktgelände	Mannheim	87,500 / 87,500 (100%)	$2,012,775	$4,062,893
Waldbühne	Berlin	22,600 / 22,600 (100%)	$519,793	$1,049,230
Olympiahalle	Munich	22,400 / 22,400 (100%)	$353,271	$713,094
Hallenstadion	Zurich	22,800 / 22,800 (100%)	$412,509	$832,669
Slane Castle	County Meath	95,000 / 95,000 (100%)	$2,218,506	$4,478,171
St. James Park	Newcastle	38,000 / 38,000 (100%)	$887,403	$1,791,270
Wembley Stadium	London	144,000 / 144,000 (100%)	$3,362,692	$6,787,771
Maine Road	Manchester	35,000 / 35,000 (100%)	$732,604	$1,478,800
Müngerdorfer Stadion	Cologne	50,000 / 50,000 (100%)	$755,486	$1,524,988
Wiener Stadthalle	Vienna	24,000 / 24,000 (100%)	$717,132	$1,447,569
Népstadion	Budapest	80,000 / 80,000 (100%)	$577,282	$1,165,274
Amphitheatre	Frejus	15,000 / 15,000 (100%)	$382,048	$771,184
Barcelona Mini Stadium	Barcelona	34,000 / 34,000 (100%)	$630,297	$1,272,288
Rayo Vallecano Stadium	Madrid	45,000 / 45,000 (100%)	$834,217	$1,683,911
Estadio Municipal	Marbella	37,000 / 37,000 (100%)	$714,446	$1,442,147
Knebworth Park	Stevenage	120,000 / 120,000 (100%)	$2,946,859	$5,948,390
TOTAL	TOTAL	997,400 / 997,400 (100%)	$20,784,419	$41,954,442
