Year	English title	Original title	Country	Length
1956	The Killers	Убийцы	Soviet Union	19 min.
1959	There Will be No Leave Today	Сегодня увольнения не будет	Soviet Union	46 min.
1961	The Steamroller and the Violin	Каток и скрипка	Soviet Union	46 min.
1962	Ivan's Childhood	Иваново детство	Soviet Union	95 min.
1966	Andrei Rublev	Андрей Рублёв	Soviet Union	205 min.
1972	Solaris	Солярис	Soviet Union	165 min.
1975	The Mirror	Зеркало	Soviet Union	107 min.
1979	Stalker	Сталкер	Soviet Union	164 min.
1983	Nostalghia	Nostalghia	Italy/Soviet Union	125 min.
1983	Voyage in Time	Tempo di Viaggio	Italy	63 min.
1986	The Sacrifice	Offret	Sweden	149 min.
