No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
69	1	"Knight of the Juggernaut (Part 1)"	Georg Fenady	Burton Armus & Robert Foster	September20,1985	60275
70	2	"Knight of the Juggernaut (Part 2)"	Georg Fenady	Burton Armus & Robert Foster	September20,1985	60276
71	3	"KITTnap"	Bernard McEveety	Skip Webster	September27,1985	60216
72	4	"Sky Knight"	Jeffrey Hayden	Carlton Hollander & Dennis Rodriguez	October18,1985	60219
73	5	"Burial Ground"	Chuck Bail	Michael Eric Stein	October25,1985	60204
74	6	"The Wrong Crowd"	Chuck Bail	George S. Dinallo	November1,1985	60221
75	7	"Knight Sting"	Sidney Hayers	Herman Miller	November8,1985	60224
76	8	"Many Happy Returns"	Georg Fenady	Michael Halperin	November15,1985	60203
77	9	"Knight Racer"	Charles Watson Sanford	Paul Diamond	November29,1985	60222
78	10	"Knight Behind Bars"	Bernard McEveety	Richard C. Okie	December6,1985	60202
79	11	"Knight Song"	Georg Fenady	Burton Armus	December13,1985	60230
80	12	"The Scent of Roses"	Sidney Hayers	E. Nick Alexander	January3,1986	60212
81	13	"Killer K.I.T.T."	Chuck Bail	Simon Rose	January10,1986	60226
82	14	"Out of the Woods"	Harvey Laidman	Gregory S. Dinallo	January17,1986	60211
83	15	"Deadly Knightshade"	Sidney Hayers	Philip John Taylor	January24,1986	60229
84	16	"Redemption of a Champion"	Chuck Bail	E. Nick Alexander	January31,1986	60227
85	17	"Knight of a Thousand Devils"	Gino Grimaldi	Peter Allan Fields	February7,1986	60228
86	18	"Hills of Fire"	Bob Bralver	Jackson Gillis	February14,1986	60220
87	19	"Knight Flight to Freedom"	Winrich Kolbe	George S. Dinallo	February21,1986	60232
