Name	Location	Type	Completed	List entry number
Albion Congregational Church	Tameside	Church	1890–1895	1356460
Albion Warehouse	Tameside	Warehouse	By 1987	1068001
Apethorn Farmhouse	Tameside	Farmhouse	17th century to 19th century	1068079
Broadbottom Hall	Tameside	House	1680	1068052
Buckley Hill Farmhouse	Tameside	House	17th century	1163826
Cavendish Mill	Tameside	Boiler House	1884-5	1067948
Church of St Lawrence	Tameside	Church	c.  1530	1067971
Church of St Michael and All Angels	Tameside	Church	15th century	1356436
Church of St Peter	Tameside	Church	1821–1824	1067994
Cross	Tameside	Sundial	Medieval	1068028
Dukinfield Old Chapel	Tameside	Unitarian Chapel	1840–1841	1068077
Fairfield Moravian Church	Tameside	House	c.  1785	1067981
Former Municipal Baths	Tameside	Industrial Building	By 1987	1067992
Hyde Hall	Tameside	Farmhouse	1967	1318129
Old Hall Chapel	Tameside	Church	1872	1356422
Old Hall Fold	Tameside	Farmhouse	16th century	1067997
St Anne's Rectory	Tameside	Vicarage	1882	1067970
Staley Hall and Adjoining West Wing	Millbrook, Tameside	Jettied House	Late 16th century	1163021
War Memorial	Tameside	War Memorial	c1920 after World War I	1163074
20–23 and 23a Fairfield Square	Tameside	House	1785	1356489
