Rd	Name	Pole Position	Fastest Lap	Winning driver	Winning team	Report
1	Datsun Twin 200	Johnny Rutherford	Unknown	Johnny Rutherford	Chaparral	Report
2	Indianapolis 500	Johnny Rutherford	Unknown	Johnny Rutherford	Chaparral	Report
3	Gould-Rex Mays 150	Gordon Johncock	Unknown	Bobby Unser	Penske Racing	Report
4	True Value 500	Bobby Unser	Unknown	Bobby Unser	Penske Racing	Report
5	Red Roof Inns 150	Al Unser	Unknown	Johnny Rutherford	Chaparral	Report
6	Norton 200	Bobby Unser	Unknown	Johnny Rutherford	Chaparral	Report
7	Kent Oil 150	Al Unser	Unknown	Bobby Unser	Penske Racing	Report
8	Tony Bettenhausen 200	Johnny Rutherford	Unknown	Johnny Rutherford	Chaparral	Report
9	California 500	Bobby Unser	Unknown	Bobby Unser	Penske Racing	Report
10	Gould Grand Prix 150	Mario Andretti	Unknown	Mario Andretti	Penske Racing	Report
11	I Copa Mexico 150	Bobby Unser	Unknown	Rick Mears	Penske Racing	Report
