Place	Player	Country	Score	To par	Money ( $ )
1	Tiger Woods	United States	70-66-68-68=272	–16	1,008,000
2	David Duval	United States	71-66-70-67=274	–14	604,800
3	Phil Mickelson	United States	67-69-69-70=275	–13	380,800
T4	Mark Calcavecchia	United States	72-66-68-72=278	–10	246,400
T4	Toshimitsu Izawa	Japan	71-66-74-67=278	–10	246,400
T6	Ernie Els	South Africa	71-68-68-72=279	–9	181,300
T6	Jim Furyk	United States	69-71-70-69=279	–9	181,300
T6	Bernhard Langer	Germany	73-69-68-69=279	–9	181,300
T6	Kirk Triplett	United States	68-70-70-71=279	–9	181,300
T10	Ángel Cabrera	Argentina	66-71-70-73=280	–8	128,800
T10	Chris DiMarco	United States	65-69-72-74=280	–8	128,800
T10	Brad Faxon	United States	73-68-68-71=280	–8	128,800
T10	Miguel Ángel Jiménez	Spain	68-72-71-69=280	–8	128,800
T10	Steve Stricker	United States	66-71-72-71=280	–8	128,800
