Date	Opponent	Score	Loss	Record
September 2	@ Blue Jays	7 - 5	Bonser (3-7)	77-61
September 3	@ Blue Jays	5 - 4 (11)	Guardado (3-4)	77-62
September 4	@ Blue Jays	9 - 0	Slowey (11-9)	77-63
September 5	Tigers	10 - 2	Galarraga (12-5)	78-63
September 6	Tigers	6 - 4	Guerrier (6-7)	78-64
September 7	Tigers	7 - 5	Perkins (12-4)	78-65
September 9	Royals	7 - 2	Bannister (7-15)	79-65
September 10	Royals	7 - 1	Davies (6-7)	80-65
September 11	Royals	3 - 2 (10)	Guerrier (6-8)	80-66
September 12	@ Orioles	Postponed (rain) Rescheduled for September 13	Postponed (rain) Rescheduled for September 13	Postponed (rain) Rescheduled for September 13
September 13	@ Orioles	12 - 2	Cabrera (8-10)	81-66
September 13	@ Orioles	12 - 6	Olson (9-8)	82-66
September 14	@ Orioles	7 - 3	Blackburn (10-9)	82-67
September 15	@ Indians	3 - 1	Slowey (12-10)	82-68
September 16	@ Indians	12 - 9 (11)	Nathan (0-2)	82-69
September 17	@ Indians	6 - 4	Mijares (0-1)	82-70
September 18	@ Rays	11 - 8	Wheeler (5-6)	83-70
September 19	@ Rays	11 - 1	Blackburn (10-10)	83-71
September 20	@ Rays	7 - 2	Slowey (12-11)	83-72
September 21	@ Rays	4 - 1	Sonnanstine (13-8)	84-72
September 23	White Sox	9 - 3	Vasquez (12-15)	85-72
September 24	White Sox	3 - 2	Burhrle (14-12)	86-72
September 25	White Sox	7 - 6 (10)	Jenks (3-1)	87-72
September 26	Royals	8 - 1	Liriano (6-4)	87-73
September 27	Royals	4 - 2	Guerrier (6-9)	87-74
September 28	Royals	6 - 0	Duckworth (3-3)	88-74
September 30	@ White Sox *	1 - 0	Blackburn (11-11)	88-75
