Driver	Constructor	Laps	Time/Retired	Grid
David Coulthard	McLaren - Mercedes	44	1:25:43.057	2
Mika Häkkinen	McLaren - Mercedes	44	+10.469	1
Heinz-Harald Frentzen	Jordan - Mugen-Honda	44	+33.433	3
Eddie Irvine	Ferrari	44	+44.948	6
Ralf Schumacher	Williams - Supertec	44	+48.067	5
Damon Hill	Jordan - Mugen-Honda	44	+54.916	4
Mika Salo	Ferrari	44	+56.249	9
Alessandro Zanardi	Williams - Supertec	44	+1:07.022	8
Jean Alesi	Sauber - Petronas	44	+1:13.848	16
Rubens Barrichello	Stewart - Ford	44	+1:20.742	7
Giancarlo Fisichella	Benetton - Playlife	44	+1:32.195	13
Jarno Trulli	Prost - Peugeot	44	+1:36.154	12
Olivier Panis	Prost - Peugeot	44	+1:41.543	17
Alexander Wurz	Benetton - Playlife	44	+1:57.745	15
Jacques Villeneuve	BAR - Supertec	43	+1 Lap	11
Marc Gené	Minardi - Ford	43	+1 Lap	21
Pedro de la Rosa	Arrows	35	Transmission	22
Luca Badoer	Minardi - Ford	33	Suspension	20
Ricardo Zonta	BAR - Supertec	33	Gearbox	14
Johnny Herbert	Stewart - Ford	27	Brakes	10
Pedro Diniz	Sauber - Petronas	19	Spin	18
Toranosuke Takagi	Arrows	0	Clutch	19
