Year	MLB Club	Record	Finish	Manager
1987	none	26-50	8th	Derrel Thomas (9-29) Mal Fichman (17-21)
1988	none	30-46	7th	Mal Fichman
1989	none	35-40	5th	Mal Fichman
1990	Angels (11 yrs.)	53-23	1st	Tom Kotchman
1991	Angels (11 yrs.)	50-26	1st	Tom Kotchman
1992	Angels (11 yrs.)	40-36	3rd	Tom Kotchman
1993	Angels (11 yrs.)	41-35	3rd	Tom Kotchman
1994	Angels (11 yrs.)	44-32	2nd	Tom Kotchman
1995	Angels (11 yrs.)	48-27	1st	Tom Kotchman
1996	Angels (11 yrs.)	43-33	2nd	Tom Kotchman
1997	Angels (11 yrs.)	51-25	1st	Tom Kotchman
1998	Angels (11 yrs.)	47-29	1st(t)	Tom Kotchman
1999	Angels (11 yrs.)	43-33	2nd	Tom Kotchman
2000	Angels (11 yrs.)	41-35	1st (t)	Tom Kotchman
2001	Cubs (12 yrs.)	52-23	1st	Steve McFarland
2002	Cubs (12 yrs.)	49-27	1st	Steve McFarland
2003	Cubs (12 yrs.)	27-49	8th	Steve McFarland
2004	Cubs (12 yrs.)	42-34	1st (t)	Tom Beyers
2005	Cubs (12 yrs.)	34-42	6th (t)	Trey Forkerway
2006	Cubs (12 yrs.)	44-32	2nd	Steve McFarland
2007	Cubs (12 yrs.)	37-39	3rd (t)	Tom Beyers
2008	Cubs (12 yrs.)	43-33	2nd	Tom Beyers
2009	Cubs (12 yrs.)	34-42	6th (t)	Casey Kopitzke
2010	Cubs (12 yrs.)	34-42	5th	Jody Davis
2011	Cubs (12 yrs.)	36-40	5th	Mark Johnson
2012	Cubs (12 yrs.)	37-39	4th	Mark Johnson
